"","pd_12.14","pd_12.2","pd_12.7","pd_13.10","pd_13.13","pd_13.9","pd_14.11","pd_14.12","pd_14.8","pd_15.3","pd_15.6"
"g5016",24,0,26,16,42,23,43,22,0,18,44
"g9723",22,0,32,26,39,41,35,40,0,28,44
"g12418",34,0,22,19,39,16,25,13,0,18,36
"g16575",30,1198,90,49,176,161,314,362,251,87,69
"g16842",183,69,193,114,165,212,301,160,71,158,265
"g17686",23,0,28,22,36,18,57,18,0,27,49
"g18533",0,13,0,0,27,8,20,20,10,9,11
"g22021",1110,553,1651,1008,1661,1260,1536,885,716,1045,1775
"g22176",24,0,24,15,9,27,33,19,0,15,15
"g28573",24,0,23,26,29,28,16,15,0,8,37
"g29286",15,191,3,12,14,12,17,4,33,20,12
"g29654",20,0,12,22,28,8,31,16,0,15,12
"g30133",4,74,15,13,9,7,20,11,49,17,13
"g31332",10,243,16,16,18,22,59,3,151,127,52
"g36060",17,0,19,18,20,20,30,6,0,13,19
"g36104",25,0,29,15,22,21,55,23,0,14,23
"g36924",25,0,23,12,15,18,14,9,0,21,19
"g45513",0,14,0,0,12,7,13,14,10,6,14
"g45527",44,8,57,33,79,57,50,65,0,35,42
"g46320",13,0,21,13,18,21,12,15,0,11,16
"g51895",0,21,0,0,13,8,21,16,17,9,17
"g56150",0,15,0,0,23,6,14,7,11,7,13
"g61689",0,8,0,0,9,16,10,5,12,12,13
"g61860",17,4,38,17,51,33,38,29,0,36,48
"g62607",25,0,13,29,45,9,35,10,0,18,48
"g63195",33,475,25,27,35,44,62,25,180,148,45
"g64052",24,0,18,12,33,31,34,26,0,42,46
