"","pd_12.14","pd_12.2","pd_12.7","pd_13.10","pd_13.13","pd_13.9","pd_14.11","pd_14.12","pd_14.8","pd_15.3","pd_15.6"
"SymbC1.scaffold31.2",65,0,0,18,11,13,157,43,0,13,29
"SymbC1.scaffold33.9",58,0,0,14,13,25,124,22,0,10,25
"SymbC1.scaffold44.19",52,0,0,15,11,24,131,47,0,28,31
"SymbC1.scaffold66.4",174,0,14,35,17,82,423,100,16,61,97
"SymbC1.scaffold75.5",51,0,0,15,18,26,155,48,0,21,70
"SymbC1.scaffold130.11",122,0,0,25,17,33,210,60,0,22,39
"SymbC1.scaffold132.1",58,0,0,16,9,18,149,41,0,16,20
"SymbC1.scaffold143.8",48,0,5,16,0,28,231,48,0,14,49
"SymbC1.scaffold143.27",57,0,0,17,19,23,153,57,0,16,25
"SymbC1.scaffold166.5",73,0,6,19,8,36,208,69,0,41,44
"SymbC1.scaffold182.5",83,0,7,33,12,44,221,63,6,24,59
"SymbC1.scaffold198.1",88,0,0,25,21,40,164,54,0,23,35
"SymbC1.scaffold220.17",113,0,0,27,22,33,201,69,0,26,50
"SymbC1.scaffold221.13",39,0,0,13,5,23,112,42,0,21,41
"SymbC1.scaffold226.10",76,0,0,26,15,24,199,46,0,46,55
"SymbC1.scaffold240.6",141,0,0,41,12,53,312,100,0,27,74
"SymbC1.scaffold240.14",66,0,5,14,0,29,243,72,0,25,37
"SymbC1.scaffold248.5",159,0,19,35,26,48,378,79,0,0,63
"SymbC1.scaffold292.3",79,0,0,25,10,42,122,47,0,22,25
"SymbC1.scaffold302.1",48,0,0,16,10,17,115,37,0,14,14
"SymbC1.scaffold323.3",89,0,11,18,0,24,141,42,0,22,25
"SymbC1.scaffold334.2",306,40,38,93,77,154,697,274,145,136,167
"SymbC1.scaffold344.3",72,0,12,24,10,21,169,63,0,20,31
"SymbC1.scaffold356.9",86,0,7,38,7,25,286,53,0,12,52
"SymbC1.scaffold363.1",67,0,0,20,17,34,213,41,0,22,39
"SymbC1.scaffold371.3",66,0,0,18,6,17,139,41,0,29,31
"SymbC1.scaffold384.9",621,38,58,155,94,240,1471,446,78,205,325
"SymbC1.scaffold388.3",71,0,0,12,8,20,179,58,0,27,43
"SymbC1.scaffold390.1",147,0,0,36,11,33,310,81,0,34,87
"SymbC1.scaffold390.3",91,0,0,27,12,33,171,41,0,34,38
"SymbC1.scaffold404.4",166,0,0,19,12,43,271,68,0,31,57
"SymbC1.scaffold407.7",35,0,0,12,11,16,104,34,0,22,26
"SymbC1.scaffold415.19",159,0,0,29,17,25,280,77,0,31,71
"SymbC1.scaffold416.6",66,0,4,23,10,30,147,27,0,15,23
"SymbC1.scaffold443.8",135,0,13,30,16,45,316,78,14,44,63
"SymbC1.scaffold448.4",66,0,9,15,0,21,187,55,0,19,45
"SymbC1.scaffold450.12",104,0,0,19,10,15,203,58,0,21,34
"SymbC1.scaffold457.2",53,0,0,10,13,17,146,30,0,22,34
"SymbC1.scaffold460.8",36,0,0,12,11,18,171,40,0,23,22
"SymbC1.scaffold461.8",40,0,5,15,9,18,73,20,0,11,29
"SymbC1.scaffold463.4",62,0,7,30,11,22,184,51,5,23,30
"SymbC1.scaffold470.6",46,0,5,14,0,12,111,40,0,17,22
"SymbC1.scaffold492.8",108,0,0,29,17,11,317,75,0,24,43
"SymbC1.scaffold495.6",95,0,11,36,0,41,251,72,0,43,54
"SymbC1.scaffold495.8",62,0,0,20,16,27,127,59,0,23,35
"SymbC1.scaffold497.12",48,0,10,15,0,18,97,32,0,22,26
"SymbC1.scaffold520.3",39,0,0,13,10,32,122,64,0,28,22
"SymbC1.scaffold522.2",100,0,0,21,11,36,249,36,0,13,29
"SymbC1.scaffold552.4",65,0,0,12,16,29,164,39,0,25,28
"SymbC1.scaffold568.6",120,0,0,29,9,33,315,93,0,22,57
"SymbC1.scaffold620.8",393,10,37,102,52,151,954,249,55,137,173
"SymbC1.scaffold635.1",18,0,5,11,7,13,64,23,0,11,18
"SymbC1.scaffold646.4",64,0,9,26,0,28,210,41,0,22,42
"SymbC1.scaffold651.9",77,0,21,17,14,32,205,61,0,32,27
"SymbC1.scaffold663.4",52,0,7,11,0,11,95,22,0,13,13
"SymbC1.scaffold666.4",47,0,0,22,13,16,125,56,0,30,36
"SymbC1.scaffold691.4",85,0,6,11,13,42,153,55,0,14,28
"SymbC1.scaffold731.12",49,0,5,25,0,22,136,51,0,22,27
"SymbC1.scaffold739.4",66,0,6,22,0,33,220,64,0,20,44
"SymbC1.scaffold757.4",39,0,4,17,7,18,58,12,0,12,24
"SymbC1.scaffold779.4",68,0,0,21,9,18,151,49,0,44,28
"SymbC1.scaffold789.5",39,0,3,11,10,22,105,46,0,13,15
"SymbC1.scaffold815.4",52,0,0,9,13,22,209,49,0,26,24
"SymbC1.scaffold846.2",58,0,9,37,15,24,249,51,0,28,41
"SymbC1.scaffold852.1",91,0,0,17,15,23,357,85,0,21,46
"SymbC1.scaffold853.3",59,0,10,19,21,28,195,43,0,21,38
"SymbC1.scaffold857.3",42,0,0,14,9,19,116,26,0,23,21
"SymbC1.scaffold877.10",74,0,8,23,0,31,234,44,0,28,42
"SymbC1.scaffold878.4",115,0,5,23,12,23,205,43,0,27,32
"SymbC1.scaffold909.11",50,0,5,18,0,22,135,47,0,20,41
"SymbC1.scaffold911.7",78,0,0,22,18,46,302,80,0,26,39
"SymbC1.scaffold921.7",75,0,5,19,11,0,225,91,0,28,44
"SymbC1.scaffold924.9",30,0,6,11,0,19,85,37,0,11,40
"SymbC1.scaffold932.2",40,0,0,13,6,17,185,42,0,20,31
"SymbC1.scaffold935.8",41,0,0,12,17,30,136,32,0,30,33
"SymbC1.scaffold941.4",59,0,11,20,0,17,135,61,0,20,19
"SymbC1.scaffold947.9",87,0,0,29,11,36,228,82,0,27,43
"SymbC1.scaffold954.7",135,0,7,37,0,47,312,79,0,31,72
"SymbC1.scaffold989.4",48,0,0,28,12,18,149,32,0,17,39
"SymbC1.scaffold1014.7",30,0,8,11,12,33,100,44,0,16,32
"SymbC1.scaffold1014.8",112,0,0,29,15,31,303,44,0,32,39
"SymbC1.scaffold1029.2",117,0,14,31,17,55,304,96,0,17,76
"SymbC1.scaffold1036.3",211,9,20,67,42,100,530,194,27,57,129
"SymbC1.scaffold1039.2",35,12,0,5,9,13,106,26,24,28,29
"SymbC1.scaffold1065.4",44,0,0,16,6,30,103,26,0,14,26
"SymbC1.scaffold1143.4",89,0,0,13,13,23,156,54,0,10,46
"SymbC1.scaffold1144.7",39,0,6,13,12,12,93,23,0,12,22
"SymbC1.scaffold1172.5",51,0,5,15,8,31,100,42,0,22,26
"SymbC1.scaffold1180.4",77,0,9,22,0,34,235,83,0,19,49
"SymbC1.scaffold1195.4",39,0,0,14,9,20,128,25,0,18,29
"SymbC1.scaffold1198.5",83,0,10,32,0,36,191,71,0,30,36
"SymbC1.scaffold1217.3",114,0,16,32,0,52,315,125,0,38,80
"SymbC1.scaffold1244.7",42,0,6,21,0,27,111,25,0,18,31
