"","pd_12.14","pd_12.2","pd_12.7","pd_13.10","pd_13.13","pd_13.9","pd_14.11","pd_14.12","pd_14.8","pd_15.3","pd_15.6"
"SymbC1.scaffold1244.8",86,0,0,15,22,30,223,70,0,25,51
"SymbC1.scaffold1249.1",66,0,9,19,13,36,174,61,0,28,28
"SymbC1.scaffold1262.1",106,0,7,29,31,58,316,82,0,36,68
"SymbC1.scaffold1263.4",219,0,0,31,16,62,649,130,0,47,133
"SymbC1.scaffold1268.2",87,0,8,19,6,11,242,52,0,24,58
"SymbC1.scaffold1278.8",65,0,7,11,0,25,114,39,0,32,29
"SymbC1.scaffold1304.1",107,0,0,16,19,27,333,52,0,27,43
"SymbC1.scaffold1304.2",60,0,0,15,11,20,135,35,0,9,27
"SymbC1.scaffold1323.3",93,0,0,11,14,29,260,90,0,28,33
"SymbC1.scaffold1362.12",67,0,9,13,17,19,116,33,0,9,31
"SymbC1.scaffold1370.6",176,20,11,38,35,69,317,159,84,66,105
"SymbC1.scaffold1398.5",81,0,8,16,8,17,141,50,0,24,33
"SymbC1.scaffold1402.3",70,21,10,15,29,38,161,66,35,44,42
"SymbC1.scaffold1447.14",87,0,0,20,12,15,279,74,0,26,42
"SymbC1.scaffold1448.10",51,0,0,22,17,21,147,60,0,17,28
"SymbC1.scaffold1449.4",148,34,13,31,32,80,307,128,58,82,60
"SymbC1.scaffold1456.3",126,0,13,20,8,38,367,63,0,33,77
"SymbC1.scaffold1487.6",66,0,8,23,11,32,162,24,0,16,32
"SymbC1.scaffold1500.3",65,0,7,16,16,46,273,47,0,20,37
"SymbC1.scaffold1508.11",95,0,0,29,24,41,172,38,0,29,31
"SymbC1.scaffold1521.19",32,0,7,13,0,16,98,47,0,13,28
"SymbC1.scaffold1522.5",183,0,21,45,18,49,415,179,0,33,96
"SymbC1.scaffold1522.6",154,0,18,40,17,35,378,125,16,46,62
"SymbC1.scaffold1534.10",30,0,11,11,8,13,91,30,0,8,33
"SymbC1.scaffold1546.9",66,0,0,13,6,24,145,49,0,32,27
"SymbC1.scaffold1576.6",25,0,12,11,21,13,92,59,0,29,19
"SymbC1.scaffold1583.3",58,0,2,14,5,15,122,36,0,20,39
"SymbC1.scaffold1599.4",180,0,0,27,26,31,418,56,0,42,76
"SymbC1.scaffold1607.2",27,0,0,17,10,28,168,50,0,16,27
"SymbC1.scaffold1616.11",150,0,0,43,20,78,330,115,0,45,73
"SymbC1.scaffold1634.2",52,0,0,17,10,17,151,31,0,20,27
"SymbC1.scaffold1639.7",82,0,11,29,0,14,180,49,0,29,39
"SymbC1.scaffold1640.6",38,0,6,11,13,11,57,39,0,13,20
"SymbC1.scaffold1656.1",93,0,0,17,16,31,273,59,0,24,45
"SymbC1.scaffold1693.6",45,0,8,29,0,28,172,46,0,12,60
"SymbC1.scaffold1705.1",48,0,5,13,0,12,85,15,0,12,22
"SymbC1.scaffold1767.5",40,0,0,16,8,21,126,36,0,13,18
"SymbC1.scaffold1772.3",146,0,0,41,0,44,415,59,0,34,72
"SymbC1.scaffold1819.1",37,0,0,15,7,19,133,30,0,23,22
"SymbC1.scaffold1821.5",74,0,0,16,12,22,204,71,0,13,32
"SymbC1.scaffold1836.9",139,0,0,39,0,59,336,115,0,34,75
"SymbC1.scaffold1858.10",56,0,12,24,11,26,201,52,0,30,53
"SymbC1.scaffold1873.1",89,0,8,15,21,29,159,63,0,30,44
"SymbC1.scaffold1958.6",199,27,19,60,37,89,337,132,93,71,90
"SymbC1.scaffold2036.5",47,0,5,22,13,24,116,11,0,17,17
"SymbC1.scaffold2039.3",52,0,0,10,15,34,202,80,0,20,37
"SymbC1.scaffold2117.2",66,0,0,22,14,27,125,32,0,11,30
"SymbC1.scaffold2136.1",36,0,7,16,0,18,163,50,0,19,23
"SymbC1.scaffold2209.9",497,23,38,151,67,175,1363,386,53,142,268
"SymbC1.scaffold2215.4",98,0,0,34,14,40,251,103,0,18,38
"SymbC1.scaffold2240.2",201,0,15,0,14,63,329,117,0,56,60
"SymbC1.scaffold2260.3",41,0,0,15,9,16,156,39,0,16,26
"SymbC1.scaffold2263.3",132,0,0,43,21,48,375,128,0,49,78
"SymbC1.scaffold2275.3",60,0,0,16,22,57,278,53,0,25,92
"SymbC1.scaffold2286.3",59,0,0,24,12,22,159,42,0,26,31
"SymbC1.scaffold2381.9",83,0,8,24,12,20,161,64,0,24,44
"SymbC1.scaffold2388.1",67,0,7,27,15,20,217,65,0,36,50
"SymbC1.scaffold2414.1",46,0,0,16,11,21,155,42,0,16,37
"SymbC1.scaffold2414.3",120,0,0,25,5,36,259,79,0,22,34
"SymbC1.scaffold2416.2",38,0,11,19,0,22,126,28,0,14,43
"SymbC1.scaffold2418.3",68,0,7,21,11,42,145,44,0,14,32
"SymbC1.scaffold2545.9",65,19,14,29,21,35,191,66,56,30,44
"SymbC1.scaffold2604.2",48,0,0,17,12,15,125,47,0,11,37
"SymbC1.scaffold2605.1",71,0,9,12,10,25,152,50,0,12,43
"SymbC1.scaffold2628.1",92,18,10,26,22,42,209,78,50,50,28
"SymbC1.scaffold2629.2",35,0,0,21,9,19,123,33,0,13,33
"SymbC1.scaffold2668.2",125,0,14,35,17,33,278,69,0,0,44
"SymbC1.scaffold2695.3",214,0,0,23,0,49,369,82,0,38,65
"SymbC1.scaffold2718.1",172,0,0,42,19,51,276,134,0,33,42
"SymbC1.scaffold2742.2",66,0,0,18,11,21,212,54,0,23,32
"SymbC1.scaffold2781.3",105,0,0,32,10,34,378,69,0,27,63
"SymbC1.scaffold2851.4",102,0,0,38,10,53,306,76,0,35,60
"SymbC1.scaffold2864.5",50,0,0,12,10,36,118,63,0,17,32
"SymbC1.scaffold2923.1",59,0,0,15,15,25,220,44,0,15,32
"SymbC1.scaffold2929.3",60,0,3,17,0,38,180,39,0,14,37
"SymbC1.scaffold2930.1",96,0,17,40,20,23,166,50,10,28,61
"SymbC1.scaffold2977.4",60,0,0,20,8,34,211,48,0,11,38
"SymbC1.scaffold3008.1",58,0,8,19,13,32,108,29,0,29,0
"SymbC1.scaffold3010.5",103,0,0,21,20,42,212,91,0,24,37
"SymbC1.scaffold3069.4",189,0,0,44,20,25,266,68,0,43,59
"SymbC1.scaffold3092.5",51,0,6,13,16,10,102,39,0,15,27
"SymbC1.scaffold3250.3",48,8,2,10,6,18,113,31,28,18,23
"SymbC1.scaffold3325.5",47,0,0,20,12,26,234,43,0,19,40
"SymbC1.scaffold3343.3",82,0,0,22,19,21,142,42,0,28,37
"SymbC1.scaffold3414.3",73,0,0,45,15,49,253,59,0,21,78
"SymbC1.scaffold3422.10",41,0,6,21,5,23,132,22,0,12,32
"SymbC1.scaffold3427.2",116,0,0,19,23,51,271,49,0,23,61
"SymbC1.scaffold3474.5",103,0,0,19,14,44,222,74,0,44,33
"SymbC1.scaffold3502.3",42,0,9,14,0,15,112,31,0,15,24
"SymbC1.scaffold3520.1",162,0,0,44,0,32,380,138,0,20,77
"SymbC1.scaffold3593.5",103,0,0,33,17,62,261,82,0,28,64
"SymbC1.scaffold3621.3",81,0,9,18,17,34,278,55,0,0,59
"SymbC1.scaffold3622.2",372,45,39,105,70,175,877,343,162,204,171
"SymbC1.scaffold3651.5",54,0,0,21,4,15,161,26,0,13,20
"SymbC1.scaffold3669.2",189,0,13,61,57,79,483,174,21,68,111
"SymbC1.scaffold3731.3",67,0,0,19,13,20,177,49,0,20,53
"SymbC1.scaffold3732.4",36,0,3,11,0,24,80,33,0,16,23
"SymbC1.scaffold3736.5",139,0,27,31,23,44,314,66,15,40,73
"SymbC1.scaffold3781.6",51,0,10,16,0,26,76,16,0,20,25
"SymbC1.scaffold3852.1",97,0,21,17,0,21,242,65,0,16,64
"SymbC1.scaffold3864.3",76,0,7,22,10,42,207,85,0,13,57
"SymbC1.scaffold3886.8",137,0,0,35,23,49,397,108,0,21,90
"SymbC1.scaffold3948.3",229,0,13,54,28,52,562,147,18,59,90
"SymbC1.scaffold3949.5",64,0,0,10,12,21,175,77,0,30,42
"SymbC1.scaffold3950.3",49,0,4,24,9,32,88,45,0,18,36
"SymbC1.scaffold4019.1",94,0,13,26,16,29,235,56,10,27,47
"SymbC1.scaffold4113.4",129,0,6,29,9,43,196,68,9,23,44
"SymbC1.scaffold4113.7",123,0,0,29,18,47,358,85,0,39,71
"SymbC1.scaffold4148.7",69,0,7,40,18,47,225,45,0,37,54
"SymbC1.scaffold4224.1",156,0,9,35,16,52,318,124,0,23,55
"SymbC1.scaffold4281.2",118,0,8,16,0,44,217,79,0,12,27
"SymbC1.scaffold4380.12",43,0,4,11,12,26,133,44,0,15,18
"SymbC1.scaffold4391.1",95,0,0,36,13,35,347,59,0,28,62
"SymbC1.scaffold4451.1",60,0,9,12,0,23,166,38,0,23,59
"SymbC1.scaffold4595.1",146,0,14,28,16,17,365,92,9,41,65
"SymbC1.scaffold4650.2",110,0,0,36,11,25,267,86,0,31,47
"SymbC1.scaffold4707.2",58,0,0,12,13,29,154,46,0,24,20
"SymbC1.scaffold4815.1",76,0,15,42,10,27,346,62,0,0,64
"SymbC1.scaffold4816.6",254,0,13,53,30,53,414,126,21,38,57
"SymbC1.scaffold4838.2",57,0,0,19,9,14,94,31,0,11,18
"SymbC1.scaffold4846.3",202,7,12,54,40,73,544,151,20,63,109
"SymbC1.scaffold4912.1",156,21,10,47,23,64,319,112,66,42,59
"SymbC1.scaffold4981.1",89,0,5,25,0,40,301,99,0,24,48
"SymbC1.scaffold5014.1",87,0,8,23,13,44,201,56,0,19,29
"SymbC1.scaffold5021.1",45,0,0,12,8,29,137,45,0,26,20
"SymbC1.scaffold5083.1",89,0,6,32,14,30,237,50,0,20,36
"SymbC1.scaffold5144.1",82,0,13,18,14,35,170,67,0,0,51
"SymbC1.scaffold5158.1",115,0,16,35,20,63,403,119,0,38,107
"SymbC1.scaffold5172.2",112,0,0,39,12,25,219,70,0,26,44
"SymbC1.scaffold5206.6",97,0,0,23,16,32,210,106,0,18,45
"SymbC1.scaffold5206.8",77,0,0,22,9,29,168,65,0,32,41
"SymbC1.scaffold5246.5",37,0,8,8,20,15,109,39,0,13,11
"SymbC1.scaffold5250.2",33,4,0,11,25,104,537,205,0,79,147
"SymbC1.scaffold5314.2",37,0,0,11,7,13,104,31,0,13,16
"SymbC1.scaffold5330.1",38,0,6,14,6,18,135,37,0,13,27
"SymbC1.scaffold5370.1",61,0,0,8,12,17,163,44,0,15,26
"SymbC1.scaffold5426.3",46,0,0,12,7,14,148,31,0,13,18
"SymbC1.scaffold5508.2",113,0,0,20,11,35,197,75,0,37,47
"SymbC1.scaffold5610.2",30,10,0,9,15,22,103,43,21,38,28
"SymbC1.scaffold5648.1",62,0,0,15,15,20,192,54,0,25,48
"SymbC1.scaffold5652.1",55,0,0,17,14,22,187,51,0,21,28
"SymbC1.scaffold5678.2",38,0,0,14,6,20,99,31,0,18,17
"SymbC1.scaffold5796.1",71,0,0,10,12,15,154,31,0,15,22
"SymbC1.scaffold5856.2",74,0,0,15,14,21,181,51,0,25,27
"SymbC1.scaffold5904.1",62,0,5,19,0,21,108,56,0,16,20
"SymbC1.scaffold5931.5",95,0,0,22,16,30,149,70,0,47,47
"SymbC1.scaffold5963.5",121,0,0,31,25,51,251,61,0,24,45
"SymbC1.scaffold5979.3",130,0,0,39,0,88,278,111,0,35,72
"SymbC1.scaffold6029.2",94,0,17,22,0,47,322,69,0,25,114
"SymbC1.scaffold6145.3",114,0,9,45,27,59,313,108,14,36,77
"SymbC1.scaffold6153.1",113,0,21,31,0,57,399,105,0,79,119
"SymbC1.scaffold6244.1",38,0,0,12,9,22,85,40,0,19,22
"SymbC1.scaffold6360.1",46,0,3,12,9,25,135,36,0,11,21
"SymbC1.scaffold6405.5",455,96,74,151,132,251,1213,468,231,379,292
"SymbC1.scaffold6409.1",96,0,0,36,22,57,264,95,0,52,64
"SymbC1.scaffold6458.2",57,0,5,11,9,17,115,41,0,25,19
"SymbC1.scaffold6502.5",192,0,0,37,29,29,407,136,0,31,80
"SymbC1.scaffold6600.1",87,2,9,21,4,27,139,38,0,16,29
"SymbC1.scaffold6608.1",82,0,0,15,14,27,224,56,0,32,28
"SymbC1.scaffold6695.3",53,0,0,21,9,11,151,45,0,17,26
"SymbC1.scaffold6705.1",123,0,6,22,0,44,195,84,0,31,42
"SymbC1.scaffold6735.1",87,0,7,28,13,47,220,59,0,28,35
"SymbC1.scaffold6763.4",140,0,11,31,16,37,402,76,9,35,85
"SymbC1.scaffold6810.1",44,0,0,16,8,14,122,44,0,18,18
"SymbC1.scaffold6826.2",109,0,7,28,0,21,341,83,0,17,41
"SymbC1.scaffold6845.4",28,16,4,0,7,18,82,31,13,17,23
"SymbC1.scaffold6977.7",148,0,7,48,15,49,390,121,6,28,78
"SymbC1.scaffold7056.1",96,0,0,17,24,28,200,36,0,27,17
"SymbC1.scaffold7189.1",87,0,10,19,0,25,152,33,0,15,35
"SymbC1.scaffold7419.2",161,5,14,67,28,57,352,120,20,65,75
"SymbC1.scaffold7470.3",183,0,0,53,14,66,526,117,0,50,163
"SymbC1.scaffold7585.5",41,0,3,14,11,20,87,21,0,6,16
"SymbC1.scaffold7893.2",34,0,4,13,12,24,141,23,0,15,22
"SymbC1.scaffold8216.1",56,0,8,22,0,33,191,52,0,34,28
"SymbC1.scaffold8353.2",72,0,7,30,11,47,300,106,0,21,43
"SymbC1.scaffold8558.1",122,0,0,17,14,40,186,45,0,30,56
"SymbC1.scaffold8611.1",62,0,0,15,8,26,138,44,0,15,32
"SymbC1.scaffold8811.2",55,0,4,20,0,16,206,71,0,25,44
"SymbC1.scaffold9080.1",42,0,7,18,12,17,84,22,0,14,34
"SymbC1.scaffold9372.1",129,0,0,26,10,29,304,61,0,14,46
"SymbC1.scaffold9432.2",94,0,0,13,21,39,257,85,0,49,48
"SymbC1.scaffold9698.2",53,0,0,12,16,19,147,62,0,21,30
"SymbC1.scaffold9791.3",162,0,0,0,17,31,346,78,0,20,60
"SymbC1.scaffold10065.1",69,0,0,23,13,15,205,53,0,22,48
"SymbC1.scaffold10168.1",63,0,0,16,14,14,110,30,0,12,20
"SymbC1.scaffold10300.1",58,0,4,18,15,18,173,62,0,31,45
"SymbC1.scaffold10373.1",70,0,5,24,8,22,197,33,0,22,42
"SymbC1.scaffold10395.4",34,0,0,13,6,17,109,41,0,19,19
"SymbC1.scaffold10638.1",229,11,33,65,49,69,514,138,29,61,104
"SymbC1.scaffold10689.1",238,0,11,52,31,126,679,150,19,78,137
"SymbC1.scaffold11917.1",97,0,0,25,21,36,296,73,0,32,61
"SymbC1.scaffold12138.1",65,0,0,16,22,18,136,41,0,24,45
"SymbC1.scaffold16657.1",53,0,0,15,4,28,124,32,0,16,41
"SymbC1.scaffold21473.1",19,0,8,15,0,37,123,63,0,18,33
