"","pd_12.14","pd_12.2","pd_12.7","pd_13.10","pd_13.13","pd_13.9","pd_14.11","pd_14.12","pd_14.8","pd_15.3","pd_15.6"
"TRINITY_DN52928_c0_g1_i3",0,55,0,0,42,0,184,122,99,89,0
"TRINITY_DN67425_c1_g2_i4",102,0,0,107,159,104,175,125,0,86,147
"TRINITY_DN41086_c0_g2_i2",46,0,0,15,0,19,116,51,0,0,37
"TRINITY_DN66466_c0_g1_i7",57,0,49,31,24,70,52,118,0,0,128
"TRINITY_DN66234_c0_g1_i1",26,18,32,49,50,89,86,100,26,48,117
"TRINITY_DN56780_c2_g1_i4",15,0,17,11,24,8,20,8,0,6,14
"TRINITY_DN64139_c0_g1_i4",19,0,89,0,25,52,93,62,0,88,55
"TRINITY_DN65448_c0_g1_i13",0,22,0,0,9,20,7,24,31,13,11
"TRINITY_DN61239_c0_g2_i5",312,330,480,289,446,202,272,134,351,330,163
"TRINITY_DN56599_c0_g1_i8",0,10,0,0,16,16,9,11,14,1,13
"TRINITY_DN64069_c0_g1_i2",0,12,0,0,8,11,21,15,8,13,24
"TRINITY_DN63435_c0_g1_i4",7,0,16,16,27,18,21,10,0,19,16
"TRINITY_DN64087_c1_g2_i3",20,0,22,20,16,37,49,20,0,37,14
"TRINITY_DN61569_c0_g1_i16",15,98,16,30,30,83,91,55,80,35,44
"TRINITY_DN61308_c2_g1_i2",4,2,1,0,10,18,13,28,0,13,25
"TRINITY_DN60380_c2_g1_i8",0,39,2,0,15,45,24,21,55,25,77
"TRINITY_DN66630_c1_g1_i12",16,219,8,31,25,14,27,10,59,5,15
"TRINITY_DN65649_c0_g1_i4",0,55,126,165,0,163,0,110,61,0,334
"TRINITY_DN64351_c0_g1_i6",4,0,41,27,37,42,39,11,0,21,28
"TRINITY_DN66705_c2_g1_i6",0,29,0,0,36,0,17,50,55,33,17
"TRINITY_DN61976_c1_g1_i5",60,24,65,50,61,102,101,82,30,54,97
"TRINITY_DN59821_c0_g1_i7",5,11,3,0,9,22,43,34,20,18,28
"TRINITY_DN58251_c2_g1_i9",89,0,0,50,130,44,93,79,0,75,107
"TRINITY_DN63072_c2_g3_i5",57,3,64,60,32,104,75,63,12,41,127
"TRINITY_DN52774_c0_g2_i4",85,0,0,32,22,40,328,83,0,42,55
"TRINITY_DN57215_c2_g1_i2",41,3,9,51,22,89,46,70,0,39,62
"TRINITY_DN64525_c2_g2_i2",62,18,57,48,44,46,74,38,28,42,67
"TRINITY_DN55591_c0_g2_i3",61,42,55,95,53,28,34,19,43,19,22
"TRINITY_DN65468_c4_g1_i3",12,0,11,13,36,15,18,9,0,12,63
"TRINITY_DN55684_c1_g1_i7",0,16,0,0,18,10,29,9,36,0,17
"TRINITY_DN65201_c0_g1_i3",43,0,6,18,14,20,48,56,0,23,57
"TRINITY_DN52794_c0_g1_i2",46,0,0,25,0,11,114,46,0,0,27
"TRINITY_DN65635_c0_g1_i6",30,51,49,16,41,0,56,0,16,45,0
"TRINITY_DN53487_c0_g1_i2",7,168,6,12,9,17,40,4,118,86,37
"TRINITY_DN54712_c1_g1_i1",140,0,6,30,17,43,293,98,0,21,60
"TRINITY_DN56677_c0_g1_i4",0,13,0,0,21,20,4,21,27,19,22
"TRINITY_DN60083_c1_g1_i6",23,0,35,31,5,14,45,22,0,24,62
"TRINITY_DN58992_c1_g3_i6",2,29,4,12,33,36,54,25,45,26,60
"TRINITY_DN65745_c1_g2_i4",77,0,90,77,46,88,85,0,0,83,81
"TRINITY_DN57287_c4_g1_i8",0,43,0,0,0,25,23,24,29,11,10
"TRINITY_DN65522_c1_g1_i3",0,49,0,0,80,0,80,51,25,53,56
"TRINITY_DN62085_c7_g1_i1",16,0,15,10,29,37,8,37,0,32,65
"TRINITY_DN63070_c0_g1_i6",196,170,185,178,205,110,164,101,164,138,114
"TRINITY_DN64649_c1_g2_i11",55,0,43,0,17,59,37,194,0,39,38
"TRINITY_DN56425_c0_g1_i5",17,0,22,18,0,18,32,9,0,11,30
"TRINITY_DN56147_c2_g2_i4",1210,919,1110,929,1164,1033,1728,912,1135,914,1175
"TRINITY_DN66839_c2_g1_i3",143,0,41,68,53,60,122,0,0,74,205
"TRINITY_DN63641_c0_g1_i9",153,231,103,101,53,34,75,17,102,24,30
"TRINITY_DN63336_c1_g4_i12",21,2,16,41,15,28,19,11,4,18,21
"TRINITY_DN60072_c0_g1_i1",19,0,9,30,62,30,11,4,0,29,17
"TRINITY_DN62863_c4_g1_i4",59,14,53,42,42,43,73,37,23,32,50
"TRINITY_DN61398_c0_g3_i3",34,2,30,41,32,28,61,9,5,22,45
"TRINITY_DN58118_c1_g1_i8",35,17,26,25,26,0,15,0,0,20,0
