"","pd_12.14","pd_12.2","pd_12.7","pd_13.10","pd_13.13","pd_13.9","pd_14.11","pd_14.12","pd_14.8","pd_15.3","pd_15.6"
"SymbC1.scaffold166.5",73,0,6,19,8,36,208,69,0,41,44
"SymbC1.scaffold344.3",72,0,12,24,10,21,169,63,0,20,31
"SymbC1.scaffold356.9",86,0,7,38,7,25,286,53,0,12,52
"SymbC1.scaffold416.6",66,0,4,23,10,30,147,27,0,15,23
"SymbC1.scaffold651.9",77,0,21,17,14,32,205,61,0,32,27
"SymbC1.scaffold846.2",58,0,9,37,15,24,249,51,0,28,41
"SymbC1.scaffold853.3",59,0,10,19,21,28,195,43,0,21,38
"SymbC1.scaffold878.4",115,0,5,23,12,23,205,43,0,27,32
"SymbC1.scaffold1014.8",112,0,0,29,15,31,303,44,0,32,39
"SymbC1.scaffold1029.2",117,0,14,31,17,55,304,96,0,17,76
"SymbC1.scaffold1249.1",66,0,9,19,13,36,174,61,0,28,28
"SymbC1.scaffold1262.1",106,0,7,29,31,58,316,82,0,36,68
"SymbC1.scaffold1398.5",81,0,8,16,8,17,141,50,0,24,33
"SymbC1.scaffold1456.3",126,0,13,20,8,38,367,63,0,33,77
"SymbC1.scaffold1487.6",66,0,8,23,11,32,162,24,0,16,32
"SymbC1.scaffold1500.3",65,0,7,16,16,46,273,47,0,20,37
"SymbC1.scaffold1522.5",183,0,21,45,18,49,415,179,0,33,96
"SymbC1.scaffold1599.4",180,0,0,27,26,31,418,56,0,42,76
"SymbC1.scaffold1858.10",56,0,12,24,11,26,201,52,0,30,53
"SymbC1.scaffold1873.1",89,0,8,15,21,29,159,63,0,30,44
"SymbC1.scaffold2036.5",47,0,5,22,13,24,116,11,0,17,17
"SymbC1.scaffold2381.9",83,0,8,24,12,20,161,64,0,24,44
"SymbC1.scaffold2388.1",67,0,7,27,15,20,217,65,0,36,50
"SymbC1.scaffold3069.4",189,0,0,44,20,25,266,68,0,43,59
"SymbC1.scaffold4148.7",69,0,7,40,18,47,225,45,0,37,54
"SymbC1.scaffold4224.1",156,0,9,35,16,52,318,124,0,23,55
"SymbC1.scaffold5014.1",87,0,8,23,13,44,201,56,0,19,29
"SymbC1.scaffold5083.1",89,0,6,32,14,30,237,50,0,20,36
"SymbC1.scaffold5158.1",115,0,16,35,20,63,403,119,0,38,107
"SymbC1.scaffold6458.2",57,0,5,11,9,17,115,41,0,25,19
"SymbC1.scaffold6735.1",87,0,7,28,13,47,220,59,0,28,35
"SymbC1.scaffold7056.1",96,0,0,17,24,28,200,36,0,27,17
"SymbC1.scaffold8353.2",72,0,7,30,11,47,300,106,0,21,43
"SymbC1.scaffold9791.3",162,0,0,0,17,31,346,78,0,20,60
"SymbC1.scaffold10300.1",58,0,4,18,15,18,173,62,0,31,45
"SymbC1.scaffold10373.1",70,0,5,24,8,22,197,33,0,22,42
