transcript_id,12-14,12-2,12-7,13-10,13-13,13-9,14-11,14-12,14-8,15-3,15-6
g3.t1,2,6,0,5,6,3,5,0,12,3,0
g1.t1,0,0,0,0,0,0,0,0,0,0,0
g1.t2,0,0,0,8,20,10,12,4,5,0,12
g12.t1,11,8,15,7,9,16,12,12,2,27,19
g9.t1,0,0,2,3,0,4,0,0,3,0,2
g10.t2,0,0,0,0,0,0,0,0,0,0,0
g8.t1,0,0,0,0,0,0,0,0,0,0,0
g8.t2,37,62,51,30,52,44,52,38,31,45,72
g10.t1,8,8,14,8,11,13,9,6,7,8,10
g11.t1,4,14,24,7,19,11,17,12,9,17,23
g5.t1,0,0,0,0,0,0,0,0,0,0,0
g4.t1,164,194,192,73,266,306,272,195,170,217,264
g4.t2,51,35,54,156,34,53,107,35,81,44,50
g5.t2,66,58,59,65,81,71,99,49,66,50,102
g6.t1,85,119,100,61,107,131,140,55,83,78,136
g7.t1,77,133,152,65,141,119,179,84,69,123,142
g13.t1,0,0,0,0,0,0,0,0,0,0,0
g13.t2,80,96,94,75,117,91,144,100,72,52,104
g14.t1,56,33,77,26,63,65,119,68,58,60,97
g20.t1,0,0,0,0,0,5,0,0,0,0,0
g19.t1,94,115,98,68,117,76,70,53,72,87,121
g16.t1,57,83,79,52,121,84,115,53,64,78,110
g17.t1,100,120,119,101,131,130,128,87,122,128,116
g18.t1,61,144,125,93,134,109,122,58,64,89,125
g21.t1,20,75,74,32,86,66,49,40,36,36,69
g22.t1,38,79,102,45,64,48,59,29,44,31,80
g25.t2,0,0,0,0,0,0,0,0,0,0,0
g25.t1,0,0,0,0,0,0,13,0,0,0,0
g27.t1,6,8,6,0,10,0,8,6,0,4,7
g32.t1,0,0,0,0,0,0,6,0,0,0,0
g32.t2,0,0,0,0,0,0,0,0,0,0,0
g24.t1,0,0,0,0,0,0,0,0,0,0,66
g23.t1,35,24,34,28,60,26,61,28,37,40,35
g24.t2,132,134,177,94,126,100,190,89,57,97,105
g31.t1,0,0,0,0,0,0,0,0,0,0,0
g31.t2,0,0,0,0,0,0,0,0,0,0,0
g28.t2,0,0,0,0,0,0,0,0,0,0,0
g28.t1,39,23,45,19,48,40,53,30,36,33,40
g29.t1,2,0,2,2,1,1,2,0,2,2,0
g30.t1,27,28,23,30,46,34,37,30,32,30,21
g34.t1,0,0,0,0,0,0,0,0,0,0,0
g33.t1,10,10,11,6,8,16,15,6,3,10,9
g35.t1,4,0,10,8,5,8,16,0,8,10,9
g39.t2,0,0,0,0,0,0,0,0,0,0,0
g40.t1,0,0,5,0,0,0,0,0,0,0,0
g40.t2,0,0,0,0,0,0,0,0,0,0,0
g41.t2,0,0,0,0,0,0,0,0,0,0,0
g42.t1,0,0,0,0,0,0,0,0,0,0,0
g42.t2,0,0,0,0,0,0,0,0,0,0,0
g36.t1,24,32,46,39,43,25,22,10,40,16,51
g37.t1,9,7,10,3,8,7,6,2,7,2,8
g38.t1,23,22,26,20,29,29,40,20,18,13,30
g39.t1,21,16,26,22,29,41,38,23,21,35,27
g41.t1,62,41,79,49,103,91,91,68,68,61,89
g43.t1,63,54,84,68,67,66,85,48,65,57,88
g44.t1,0,0,0,0,0,0,0,0,0,0,0
g44.t2,45,19,41,47,30,62,63,33,22,54,52
g48.t2,0,0,0,0,0,0,0,0,0,0,0
g48.t1,24,21,9,14,21,30,25,23,13,10,35
g49.t1,0,0,0,0,0,0,0,0,0,0,0
g50.t1,4,1,3,0,1,0,4,5,2,1,2
g47.t1,0,7,27,0,0,0,0,0,0,0,40
g46.t1,103,96,88,79,85,121,174,69,67,102,153
g47.t2,90,54,24,61,130,97,151,71,46,75,112
g54.t1,16,11,11,6,7,16,18,2,15,10,12
g55.t1,0,0,0,0,0,0,0,0,0,0,0
g55.t2,0,0,0,0,0,0,0,0,0,0,0
g52.t1,0,0,0,0,0,0,0,0,0,0,0
g53.t1,0,0,8,0,7,0,17,0,6,0,4
g52.t2,43,43,56,23,40,40,79,29,23,40,46
g56.t1,137,156,176,93,199,136,220,108,107,106,193
g58.t1,0,14,0,0,0,0,0,0,0,0,0
g60.t1,0,0,0,0,0,0,0,0,0,0,0
g68.t1,0,0,0,0,0,0,0,0,0,0,0
g57.t1,142,147,158,116,220,193,215,123,125,131,229
g69.t1,0,15,0,0,0,0,0,0,0,18,0
g69.t2,0,0,0,0,0,0,0,0,0,0,0
g70.t1,0,4,0,3,0,0,2,0,0,0,0
g71.t1,1,11,3,3,2,10,3,3,7,2,7
g72.t1,9,10,13,7,11,10,18,5,3,5,21
g75.t1,0,3,2,0,0,10,3,0,0,0,5
g73.t1,6,0,15,5,0,5,7,0,0,0,6
g74.t1,19,0,21,13,14,14,16,16,10,6,22
g77.t1,0,0,0,0,0,0,0,0,0,0,0
g76.t1,10,18,15,6,27,16,33,10,6,8,26
g80.t1,2,0,1,1,1,0,1,2,1,0,1
g84.t1,12,5,11,5,13,5,12,4,4,3,11
g82.t1,24,5,32,16,17,16,33,22,7,10,19
g83.t1,39,15,54,15,20,37,37,18,53,40,41
g88.t1,3,3,9,3,0,0,9,1,2,7,5
g79.t2,0,0,90,0,0,70,0,0,0,0,0
g78.t2,88,55,103,41,126,101,147,74,87,64,95
g78.t1,2,28,0,12,0,16,0,0,0,0,21
g79.t1,103,61,0,84,109,0,194,63,73,86,143
g85.t1,25,9,18,10,10,22,30,9,10,17,17
g86.t1,5,4,0,5,12,6,17,11,5,5,10
g89.t1,5,18,14,0,5,6,30,10,6,25,11
g90.t1,57,62,66,46,79,70,82,66,54,66,79
g90.t2,10,16,2,1,14,16,59,26,8,8,33
g92.t1,0,0,0,0,3,0,3,0,0,0,0
g95.t1,0,13,8,0,6,0,8,0,3,0,6
g94.t1,28,41,24,13,46,16,47,25,7,15,33
g91.t1,0,3,0,0,0,3,6,10,0,0,0
g91.t2,221,267,223,225,392,349,389,209,135,183,332
g100.t1,46,78,87,29,59,71,77,33,44,54,66
g98.t1,0,0,0,0,0,0,0,0,0,0,0
g96.t1,42,37,49,36,65,61,70,51,25,48,82
g97.t1,301,159,232,275,264,165,330,205,300,165,188
g98.t2,5,8,4,0,2,8,10,6,9,8,12
g99.t1,182,148,0,0,219,0,286,119,0,0,0
g109.t1,0,10,20,13,21,17,22,13,22,28,34
g109.t2,0,0,0,0,0,0,0,0,0,0,0
g107.t1,0,0,0,0,0,0,0,0,0,0,0
g107.t2,54,36,49,23,47,72,46,37,32,69,63
g101.t1,48,51,47,69,74,43,95,44,41,37,84
g102.t1,36,30,43,28,32,30,40,20,40,45,40
g103.t1,149,93,77,80,108,96,214,72,101,92,162
g110.t1,24,19,29,20,23,8,27,25,8,11,32
g111.t1,119,76,145,85,216,155,178,107,135,167,187
g118.t1,4,11,15,0,7,23,0,0,5,7,8
g121.t1,0,0,0,0,0,0,0,0,0,0,0
g124.t1,0,0,0,0,0,0,0,0,0,0,0
g124.t2,0,0,0,0,0,0,0,0,0,0,0
g135.t1,0,0,0,0,0,0,0,0,0,0,0
g133.t1,7,0,0,0,0,0,9,0,0,7,0
g138.t1,4,0,0,0,0,1,2,0,1,2,2
g137.t1,0,0,0,0,0,0,0,0,0,0,0
g137.t2,50,45,56,44,68,69,89,50,47,57,72
g148.t1,20,36,39,17,37,52,57,35,35,0,45
g145.t2,0,0,0,0,0,0,0,0,0,0,0
g146.t2,0,0,0,0,0,0,0,0,0,0,0
g139.t1,7,2,8,6,5,2,6,5,2,4,6
g140.t1,16,9,21,11,27,20,22,13,19,20,40
g141.t1,5,7,11,4,8,5,10,4,7,3,4
g142.t1,15,3,9,11,21,16,26,12,20,7,15
g143.t1,45,18,46,35,84,39,57,42,40,38,78
g144.t1,8,13,20,4,11,12,15,3,7,6,4
g145.t1,8,11,21,5,9,0,13,0,0,7,7
g146.t1,9,0,11,0,0,0,0,0,0,0,14
g147.t1,27,17,26,0,23,21,20,24,21,17,29
