Date Collected,Species,Life Stage,Tank,Temperature,CO2,Treatment,Experiment Name,Sample ID,Sequencing Run Date,Sequencing Sample Name
3-Jul-10,Pocillopora damicornis,Adult,2,Ambient,High,ATHC,Pdam Taiwan Summer 2010,12-2B,2-May-12,12-2B
3-Jul-10,Pocillopora damicornis,Adult,7,Ambient,Ambient,ATAC,Pdam Taiwan Summer 2010,12-7A,2-May-12,12-7A
3-Jul-10,Pocillopora damicornis,Adult,14,Ambient,Ambient,ATAC,Pdam Taiwan Summer 2010,12-14A,2-May-12,12-14A
3-Jul-10,Pocillopora damicornis,Adult,9,High,Ambient,HTAC,Pdam Taiwan Summer 2010,13-9A,2-May-12,13-9A_backup
3-Jul-10,Pocillopora damicornis,Adult,10,Ambient,Ambient,ATAC,Pdam Taiwan Summer 2010,13-10A,2-May-12,13-10A
3-Jul-10,Pocillopora damicornis,Adult,13,High,High,HTHC,Pdam Taiwan Summer 2010,13-13A,2-May-12,13-13A
3-Jul-10,Pocillopora damicornis,Adult,16,Ambient,High,ATHC,Pdam Taiwan Summer 2010,13-16A,2-May-12,13-16A
3-Jul-10,Pocillopora damicornis,Adult,8,Ambient,High,ATHC,Pdam Taiwan Summer 2010,14-8A,2-May-12,14-8A_backup
3-Jul-10,Pocillopora damicornis,Adult,11,High,High,HTHC,Pdam Taiwan Summer 2010,14-11A,2-May-12,14-11A_backup
3-Jul-10,Pocillopora damicornis,Adult,12,High,Ambient,HTAC,Pdam Taiwan Summer 2010,14-12A,2-May-12,14-12A
3-Jul-10,Pocillopora damicornis,Adult,3,High,High,HTHC,Pdam Taiwan Summer 2010,15-3A,2-May-12,15-3A
3-Jul-10,Pocillopora damicornis,Adult,6,High,Ambient,HTAC,Pdam Taiwan Summer 2010,15-6A,2-May-12,15-6A
