gene_id,12-14,12-2,12-7,13-10,13-13,13-9,14-11,14-12,14-8,15-3,15-6
g3,2,6,0,5,6,3,5,0,12,3,0
g1,0,0,0,8,20,10,12,4,5,0,12
g12,11,8,15,7,9,16,12,12,2,27,19
g9,0,0,2,3,0,4,0,0,3,0,2
g10,8,8,14,8,11,13,9,6,7,8,10
g8,37,62,51,30,52,44,52,38,31,45,72
g11,4,14,24,7,19,11,17,12,9,17,23
g5,66,58,59,65,81,71,99,49,66,50,102
g4,215,229,246,229,300,359,379,230,251,261,314
g6,85,119,100,61,107,131,140,55,83,78,136
g7,77,133,152,65,141,119,179,84,69,123,142
g13,80,96,94,75,117,91,144,100,72,52,104
g14,56,33,77,26,63,65,119,68,58,60,97
g20,0,0,0,0,0,5,0,0,0,0,0
g19,94,115,98,68,117,76,70,53,72,87,121
g16,57,83,79,52,121,84,115,53,64,78,110
g17,100,120,119,101,131,130,128,87,122,128,116
g18,61,144,125,93,134,109,122,58,64,89,125
g21,20,75,74,32,86,66,49,40,36,36,69
g22,38,79,102,45,64,48,59,29,44,31,80
g25,0,0,0,0,0,0,13,0,0,0,0
g27,6,8,6,0,10,0,8,6,0,4,7
g32,0,0,0,0,0,0,6,0,0,0,0
g24,132,134,177,94,126,100,190,89,57,97,171
g23,35,24,34,28,60,26,61,28,37,40,35
g31,0,0,0,0,0,0,0,0,0,0,0
g28,39,23,45,19,48,40,53,30,36,33,40
g29,2,0,2,2,1,1,2,0,2,2,0
g30,27,28,23,30,46,34,37,30,32,30,21
g34,0,0,0,0,0,0,0,0,0,0,0
g33,10,10,11,6,8,16,15,6,3,10,9
g35,4,0,10,8,5,8,16,0,8,10,9
g39,21,16,26,22,29,41,38,23,21,35,27
g40,0,0,5,0,0,0,0,0,0,0,0
g41,62,41,79,49,103,91,91,68,68,61,89
g42,0,0,0,0,0,0,0,0,0,0,0
g36,24,32,46,39,43,25,22,10,40,16,51
g37,9,7,10,3,8,7,6,2,7,2,8
g38,23,22,26,20,29,29,40,20,18,13,30
g43,63,54,84,68,67,66,85,48,65,57,88
g44,45,19,41,47,30,62,63,33,22,54,52
g48,24,21,9,14,21,30,25,23,13,10,35
g49,0,0,0,0,0,0,0,0,0,0,0
g50,4,1,3,0,1,0,4,5,2,1,2
g47,90,61,51,61,130,97,151,71,46,75,152
g46,103,96,88,79,85,121,174,69,67,102,153
