gene_id,12-14,12-2,12-7,13-10,13-13,13-9,14-11,14-12,14-8,15-3,15-6
g54,16,11,11,6,7,16,18,2,15,10,12
g55,0,0,0,0,0,0,0,0,0,0,0
g52,43,43,56,23,40,40,79,29,23,40,46
g53,0,0,8,0,7,0,17,0,6,0,4
g56,137,156,176,93,199,136,220,108,107,106,193
g58,0,14,0,0,0,0,0,0,0,0,0
g60,0,0,0,0,0,0,0,0,0,0,0
g68,0,0,0,0,0,0,0,0,0,0,0
g57,142,147,158,116,220,193,215,123,125,131,229
g69,0,15,0,0,0,0,0,0,0,18,0
g70,0,4,0,3,0,0,2,0,0,0,0
g71,1,11,3,3,2,10,3,3,7,2,7
g72,9,10,13,7,11,10,18,5,3,5,21
g75,0,3,2,0,0,10,3,0,0,0,5
g73,6,0,15,5,0,5,7,0,0,0,6
g74,19,0,21,13,14,14,16,16,10,6,22
g77,0,0,0,0,0,0,0,0,0,0,0
g76,10,18,15,6,27,16,33,10,6,8,26
g80,2,0,1,1,1,0,1,2,1,0,1
g84,12,5,11,5,13,5,12,4,4,3,11
g82,24,5,32,16,17,16,33,22,7,10,19
g83,39,15,54,15,20,37,37,18,53,40,41
g88,3,3,9,3,0,0,9,1,2,7,5
g79,103,61,90,84,109,70,194,63,73,86,143
g78,90,83,103,53,126,117,147,74,87,64,116
g85,25,9,18,10,10,22,30,9,10,17,17
g86,5,4,0,5,12,6,17,11,5,5,10
g89,5,18,14,0,5,6,30,10,6,25,11
g90,67,78,68,47,93,86,141,92,62,74,112
g92,0,0,0,0,3,0,3,0,0,0,0
g95,0,13,8,0,6,0,8,0,3,0,6
g94,28,41,24,13,46,16,47,25,7,15,33
g91,221,270,223,225,392,352,395,219,135,183,332
g100,46,78,87,29,59,71,77,33,44,54,66
g98,5,8,4,0,2,8,10,6,9,8,12
g96,42,37,49,36,65,61,70,51,25,48,82
g97,301,159,232,275,264,165,330,205,300,165,188
g99,182,148,0,0,219,0,286,119,0,0,0
g109,0,10,20,13,21,17,22,13,22,28,34
g107,54,36,49,23,47,72,46,37,32,69,63
g101,48,51,47,69,74,43,95,44,41,37,84
g102,36,30,43,28,32,30,40,20,40,45,40
g103,149,93,77,80,108,96,214,72,101,92,162
g110,24,19,29,20,23,8,27,25,8,11,32
g111,119,76,145,85,216,155,178,107,135,167,187
g118,4,11,15,0,7,23,0,0,5,7,8
g121,0,0,0,0,0,0,0,0,0,0,0
g124,0,0,0,0,0,0,0,0,0,0,0
g135,0,0,0,0,0,0,0,0,0,0,0
g133,7,0,0,0,0,0,9,0,0,7,0
g138,4,0,0,0,0,1,2,0,1,2,2
g137,50,45,56,44,68,69,89,50,47,57,72
g148,20,36,39,17,37,52,57,35,35,0,45
g145,8,11,21,5,9,0,13,0,0,7,7
g146,9,0,11,0,0,0,0,0,0,0,14
g139,7,2,8,6,5,2,6,5,2,4,6
g140,16,9,21,11,27,20,22,13,19,20,40
g141,5,7,11,4,8,5,10,4,7,3,4
g142,15,3,9,11,21,16,26,12,20,7,15
g143,45,18,46,35,84,39,57,42,40,38,78
g144,8,13,20,4,11,12,15,3,7,6,4
g147,27,17,26,0,23,21,20,24,21,17,29
g153,20,40,28,21,30,21,48,20,20,19,52
g150,0,0,0,0,0,0,0,0,0,0,0
g149,38,61,46,31,43,49,45,27,26,22,76
g151,71,96,81,61,76,81,111,85,56,68,112
g156,6,0,0,2,0,3,13,5,0,2,9
g154,6,0,2,2,8,0,7,0,1,0,5
g155,135,19,63,64,121,19,53,29,42,14,82
g160,27,53,47,55,39,37,43,23,20,21,56
g162,0,0,0,0,0,0,0,0,0,0,0
g163,0,0,0,0,0,0,0,0,0,0,0
g164,0,0,0,0,0,0,0,0,0,0,0
g161,15,4,27,8,20,25,34,28,13,19,48
g167,25,13,21,20,38,28,48,34,10,27,41
g172,9,19,13,9,25,13,25,12,10,14,22
g169,12,0,7,6,13,0,17,0,0,14,21
g170,0,0,0,0,0,0,0,0,0,3,0
g168,20,16,22,11,25,21,33,10,4,7,36
g171,23,24,35,18,71,42,16,45,17,33,65
g173,9,4,9,12,0,13,39,0,16,10,8
g174,5,6,6,0,3,8,13,3,12,7,5
g175,3,5,5,14,4,0,7,0,11,12,9
g176,8,0,14,9,9,16,22,11,6,11,21
g181,0,3,4,0,0,2,0,5,0,7,7
g179,0,0,0,0,0,0,0,0,0,0,0
g180,0,0,0,0,0,0,0,0,0,10,0
g177,6,4,7,1,7,6,12,7,6,7,9
g178,68,68,59,31,87,65,97,45,62,64,95
g182,73,71,77,61,84,123,92,48,83,66,102
g183,165,188,256,166,210,184,235,134,128,190,222
g185,64,42,63,59,97,90,155,70,63,94,121
g184,90,94,145,100,145,120,218,101,66,116,171
g186,17,19,17,17,23,19,33,14,12,21,25
g191,11,13,18,16,26,13,17,11,0,4,26
g189,9,12,20,0,42,30,24,19,9,0,22
g194,37,44,90,41,38,56,83,48,31,46,62
g187,217,237,253,221,354,281,314,192,178,234,289
g199,37,19,13,32,27,31,85,16,26,20,85
g200,7,23,21,11,10,6,28,10,10,11,20
g202,0,13,9,3,7,9,7,0,0,6,4
g206,0,0,0,0,0,0,0,0,0,0,0
g207,0,0,0,0,0,0,0,1,0,0,0
g208,0,0,0,0,0,0,0,0,0,0,0
g209,0,0,0,0,0,0,0,0,0,0,0
g210,2,3,4,0,0,0,5,5,3,0,2
g213,9,4,17,2,3,7,17,8,9,21,4
g212,14,15,21,0,10,16,34,19,13,17,19
g216,0,0,5,0,6,0,9,0,0,0,13
g214,6,11,16,0,17,12,12,0,12,15,6
g215,0,5,0,0,0,19,14,0,0,11,16
g218,0,0,0,0,0,0,0,0,3,0,0
g217,28,41,36,47,46,25,32,25,41,25,40
g221,0,0,0,0,0,0,0,0,0,0,0
g219,24,16,24,24,16,38,38,26,26,27,21
g222,144,30,77,50,107,73,283,189,51,137,236
g225,18,20,23,4,0,0,14,12,0,0,13
g228,32,18,3,20,0,26,31,23,19,29,20
g227,0,0,0,0,9,0,22,0,0,0,0
g226,61,55,83,54,81,86,109,42,52,66,71
g235,8,5,0,0,8,0,0,0,0,0,0
g234,6,7,9,15,0,0,13,9,6,7,8
g231,174,143,118,80,195,201,272,112,150,174,245
g232,29,27,35,24,40,24,40,25,25,21,45
g233,35,41,70,53,70,69,70,53,61,71,85
g241,7,2,5,0,2,0,4,6,2,6,0
g237,16,4,7,5,20,10,26,15,20,6,23
g238,69,43,57,49,71,62,99,56,51,51,0
g244,7,13,7,0,10,10,12,8,8,12,15
g245,16,7,16,9,30,24,36,8,17,11,36
g246,1,0,0,0,0,1,1,1,0,0,1
g247,2,0,0,0,0,0,0,0,0,0,0
g249,0,0,0,0,0,0,0,0,0,3,0
g251,11,14,13,15,21,9,24,0,0,13,10
g256,4,12,9,6,20,10,17,10,3,8,28
g257,29,24,20,27,34,27,39,18,13,25,30
g260,0,0,0,0,0,0,0,0,0,0,0
g261,0,0,0,0,0,0,0,0,0,0,0
g262,0,9,2,0,0,0,9,0,0,0,0
g259,32,33,22,24,40,16,44,0,0,7,47
g267,8,29,21,14,25,15,25,12,14,12,18
g255,67,79,58,54,115,63,135,43,24,59,114
g253,258,208,216,263,426,348,439,228,225,274,372
g254,91,110,105,84,146,135,168,72,55,93,151
g270,0,4,0,3,0,3,3,0,0,0,10
g265,52,81,124,55,144,84,86,43,53,82,104
g266,0,0,0,0,0,0,0,0,0,0,0
g264,50,76,146,85,157,122,111,53,110,85,165
g271,4,0,5,8,5,3,3,3,0,8,0
g275,0,0,0,0,0,0,0,0,0,0,0
g276,0,0,3,0,0,0,3,0,0,0,0
g278,0,0,0,0,0,0,0,0,0,0,0
g279,0,0,0,0,0,0,0,0,0,0,0
g280,0,0,0,0,0,0,0,0,0,0,0
g277,6,0,4,7,4,6,6,5,5,7,3
g286,0,3,0,0,0,2,5,0,0,5,3
g283,0,0,0,0,0,0,0,0,0,0,0
g284,0,0,0,0,0,0,0,0,0,0,0
g282,22,37,41,24,29,23,36,31,28,43,65
g285,8,5,12,14,12,11,8,10,3,11,15
g287,52,18,37,32,31,56,73,35,33,56,52
g288,15,0,6,8,7,12,13,12,14,6,15
g289,272,361,207,260,404,355,456,241,230,275,350
g290,30,62,36,37,55,36,63,19,26,26,43
g291,66,122,62,71,130,84,137,61,42,51,103
g292,29,60,24,37,38,23,46,23,20,20,36
g300,3,1,1,2,0,3,0,0,0,0,0
g294,0,0,0,0,0,0,0,0,0,0,0
g297,0,0,29,0,32,19,36,0,12,15,0
g298,0,0,0,0,0,0,32,0,0,19,0
g293,96,128,140,102,134,96,143,70,115,72,146
g295,28,26,36,26,47,35,53,12,33,20,54
g296,37,32,45,37,49,39,35,21,24,38,64
g317,1,0,0,0,0,0,0,0,0,0,0
g314,0,0,0,0,9,0,14,0,0,0,10
g315,6,4,5,2,7,2,6,6,0,3,0
g316,2,4,3,5,0,2,5,2,0,0,0
g312,0,0,0,0,0,0,0,0,0,0,0
g310,51,26,26,30,46,45,89,37,39,28,65
g311,9,2,8,16,5,10,18,8,7,7,13
g313,7,0,7,0,11,19,19,4,9,0,9
g320,2,0,0,0,0,0,0,0,0,0,0
g318,53,0,25,61,57,44,119,62,28,11,99
g323,0,0,14,0,0,0,0,12,0,0,0
g322,24,12,37,33,68,30,25,36,23,27,48
g335,0,0,0,0,2,0,4,0,0,3,4
g331,16,14,18,9,0,25,27,0,22,19,16
g333,0,0,0,0,0,0,0,0,0,0,0
g330,5,0,0,3,0,0,0,5,0,0,0
g332,12,28,18,10,18,17,25,8,14,12,22
g334,4,7,11,10,11,11,14,10,4,12,23
g338,0,0,0,0,0,0,0,0,0,0,0
g336,26,43,45,29,47,49,69,31,26,38,64
g340,7,0,3,0,0,7,0,0,0,0,4
g342,30,8,0,25,13,21,27,17,22,27,39
g347,0,3,6,5,13,6,11,3,4,6,7
g350,8,15,14,7,15,10,13,6,8,8,5
g343,0,0,0,0,0,0,0,0,0,0,0
g344,0,0,0,0,0,1,0,0,0,0,0
g345,0,0,0,0,0,0,0,0,0,0,0
g346,75,115,75,98,88,53,76,60,64,87,103
g351,43,0,24,20,51,19,76,53,27,16,81
g357,27,9,22,10,17,29,29,16,28,19,21
g358,47,43,42,16,38,46,44,35,44,26,66
g352,84,23,59,62,93,74,121,46,41,49,96
g355,0,0,0,0,0,0,0,0,0,0,0
g353,44,8,25,39,85,47,80,27,37,29,76
g354,66,36,58,58,114,63,120,49,43,62,89
g356,254,117,192,186,317,297,417,145,179,206,254
g359,78,70,87,36,98,108,122,62,71,69,92
g373,11,14,9,0,11,17,18,9,8,10,4
g374,12,0,0,4,3,0,15,11,0,0,0
g375,8,0,5,0,0,1,4,0,2,4,2
g381,1,0,1,0,0,1,2,0,0,2,0
g376,11,18,30,13,29,13,27,15,19,16,29
g384,0,0,6,0,0,0,0,0,0,0,0
g385,0,0,0,0,0,0,0,0,0,0,0
g383,0,9,0,0,8,12,0,10,20,0,0
g382,16,19,0,0,0,14,0,11,33,21,23
g386,16,2,18,19,17,6,10,12,8,14,35
g391,9,0,9,0,16,9,13,4,0,0,10
g392,85,116,114,87,84,106,130,51,74,104,97
g388,55,55,80,69,96,77,83,76,64,33,78
g389,131,126,171,138,246,170,220,140,57,97,217
g387,261,273,348,259,418,409,456,330,266,323,422
g394,3,4,0,0,0,7,12,9,0,2,4
g395,24,12,13,7,25,16,54,28,7,25,53
g393,59,32,30,43,76,43,131,63,37,27,72
g397,20,35,43,26,45,48,34,18,29,31,37
g396,115,208,271,146,200,181,206,116,199,158,209
g399,34,46,37,31,39,40,51,25,45,53,67
g398,7,12,0,0,14,10,0,0,0,9,0
g400,38,35,44,26,42,44,46,30,37,35,34
g401,23,14,27,14,28,23,30,9,17,13,21
g406,4,1,3,4,3,2,1,3,1,3,2
g411,1,0,0,0,0,1,0,0,0,0,0
g402,0,4,17,8,0,0,23,0,0,0,0
g403,36,35,43,20,45,29,47,19,30,29,40
g431,0,0,0,0,0,0,0,0,0,0,0
g437,0,0,0,0,0,0,0,0,0,0,0
g439,92,56,75,59,102,83,106,68,39,73,128
g440,0,0,0,0,0,0,0,0,0,0,0
g441,52,53,81,64,90,103,136,38,55,59,90
g442,0,0,0,0,0,0,0,0,0,0,0
g443,131,128,167,153,201,183,272,143,92,130,214
g444,124,91,158,88,154,174,258,138,97,136,229
g445,79,64,81,58,91,80,137,64,59,75,127
g447,16,21,122,77,92,26,40,64,163,37,74
g446,63,74,139,76,130,65,97,77,65,59,89
g448,14,8,8,11,12,21,20,9,9,15,24
g449,20,52,78,29,51,33,17,16,36,23,27
g450,115,111,118,102,152,73,166,93,47,85,121
g452,3,0,6,3,0,5,10,10,6,5,0
g453,78,48,113,42,97,100,187,74,54,107,132
g454,18,23,23,8,0,16,37,9,15,7,11
g455,246,173,196,118,261,239,361,232,134,89,265
g458,24,38,52,24,26,47,90,27,20,57,46
g459,1,2,2,0,0,0,0,1,0,2,4
g460,24,13,21,13,15,24,31,19,18,31,34
g461,16,14,19,0,35,14,22,12,14,17,22
g462,12,0,16,4,7,12,18,0,9,5,13
g466,41,22,16,19,31,48,29,39,11,37,46
g463,34,32,49,29,43,39,55,38,32,47,54
g464,7,10,12,10,19,7,8,11,11,11,11
g465,22,31,25,26,52,33,28,27,24,17,36
g467,28,6,13,12,27,20,20,20,9,10,22
g469,0,0,0,0,0,0,0,0,0,0,0
g470,0,0,0,0,0,0,0,0,0,0,0
g472,0,14,0,30,14,5,0,4,5,0,0
g471,55,34,58,24,38,50,107,35,27,89,27
g473,0,9,9,10,14,0,17,0,0,0,0
g474,8,5,0,12,17,6,16,6,10,0,8
g475,10,7,2,5,7,10,24,9,7,0,7
g479,0,28,15,18,20,7,0,0,32,10,11
g477,0,0,0,0,1,1,3,0,0,0,0
g478,0,0,0,0,0,0,0,0,0,0,0
g476,113,82,49,114,146,69,155,51,67,24,78
g484,68,18,47,46,108,58,117,73,44,41,123
g480,193,147,282,224,433,264,391,240,170,163,390
g481,2,2,0,0,0,4,0,0,0,0,0
g482,117,72,195,152,236,195,212,202,132,130,260
g483,148,193,216,160,232,148,235,102,180,134,152
g485,0,0,0,0,0,0,0,0,0,0,0
g486,32,31,51,20,45,33,58,24,33,34,40
g487,0,6,0,4,9,9,0,10,0,9,0
g500,35,57,46,47,51,67,62,46,59,51,54
g501,54,6,61,35,78,39,88,45,66,33,94
g490,0,7,22,0,0,0,0,0,0,25,0
g491,0,0,0,0,0,0,0,0,1,0,0
g493,10,0,18,12,34,0,25,0,24,20,32
g494,33,13,26,37,50,39,54,56,36,33,58
g496,0,0,0,0,0,0,0,0,0,0,0
g497,0,0,0,0,0,0,0,0,0,0,0
g488,17,4,12,22,44,19,21,19,30,23,35
g489,119,49,108,129,133,123,164,88,107,88,181
g492,48,25,60,72,82,55,57,48,59,42,72
g495,2,1,0,1,0,0,3,0,0,0,0
g498,12,24,12,9,13,19,16,12,0,19,16
g499,6,13,24,12,25,21,19,8,6,19,17
g512,0,0,0,0,6,0,0,0,0,0,6
g513,30,0,30,14,24,21,47,28,18,31,32
g507,0,0,0,0,0,0,0,0,0,0,0
g505,8,8,11,5,8,7,12,0,0,3,20
g506,76,38,43,38,59,72,84,61,75,53,108
g508,32,20,28,15,34,40,58,19,17,17,38
g509,54,72,38,31,84,53,90,46,66,54,73
g510,39,28,39,38,52,73,59,58,43,31,80
g511,45,58,61,56,75,60,80,68,47,59,86
g502,0,63,0,0,65,49,66,0,0,0,54
g503,3867,3681,4697,3622,4478,4077,5303,2887,4620,4301,4881
g504,20,22,25,0,30,21,0,0,26,0,0
g515,273,205,278,178,279,227,387,171,192,230,365
g516,11,9,16,22,10,11,27,15,10,14,25
g519,29,31,39,25,40,37,50,37,44,25,45
g517,11,7,9,5,7,7,20,2,4,11,12
g518,48,61,57,56,66,51,62,46,49,64,60
g523,13,4,7,8,7,10,25,8,4,0,9
g524,1,0,0,0,0,1,2,0,0,0,0
g525,0,0,0,0,0,3,0,0,0,0,0
g526,7,11,16,12,19,12,16,6,0,6,14
g527,0,0,0,0,0,0,0,0,0,0,0
g528,6,15,0,0,12,8,12,5,0,0,20
g530,1510,1463,1774,1475,1868,1505,1955,1152,1755,1668,2070
g529,79,80,101,63,90,96,125,63,70,76,119
g536,16,13,16,11,15,16,17,13,17,11,14
g533,0,0,0,0,0,0,0,0,0,0,0
g534,0,0,15,10,0,0,0,0,0,0,0
g532,64,100,112,97,165,83,107,69,47,93,149
g535,57,51,64,48,58,76,74,52,43,44,87
g538,16,24,39,17,67,23,51,21,19,32,43
g539,110,67,124,70,122,120,231,92,73,93,163
g540,42,32,69,62,83,52,44,24,34,61,43
g545,5,16,24,9,6,17,11,12,7,17,16
g546,10,11,17,11,6,27,20,8,10,24,25
g547,74,64,109,51,115,113,129,51,59,110,151
g550,23,24,21,19,24,12,48,10,7,10,18
g554,10,20,19,17,35,25,35,23,27,6,30
g548,107,74,74,64,118,114,196,100,73,83,117
g549,11,4,9,10,0,7,19,6,5,0,8
g541,0,10,10,16,43,13,11,16,39,18,38
g542,62,33,101,102,205,105,110,87,92,76,159
g543,0,0,0,0,0,0,0,0,0,0,0
g544,945,590,717,1173,1467,1575,1696,1280,1081,728,1227
g553,30,52,24,43,26,35,35,46,25,25,50
g564,0,0,0,0,0,0,0,0,0,0,0
g566,6,4,7,8,3,7,19,0,6,0,11
g555,83,51,39,87,74,80,119,40,47,89,157
g567,81,28,160,71,114,100,123,70,130,57,165
g569,2,5,0,0,3,7,3,2,2,9,2
g570,34,35,32,9,30,19,55,24,9,18,54
g568,325,270,380,317,412,353,485,278,275,282,490
g572,34,24,50,39,68,52,91,30,22,24,72
g574,0,0,0,7,0,0,0,0,0,10,15
g573,19,17,0,11,16,9,30,16,13,16,0
g575,20,30,17,27,32,49,52,23,27,26,55
g576,16,22,21,23,26,32,31,29,29,33,33
g577,43,89,43,37,78,67,93,58,75,36,29
g579,0,14,0,9,14,0,11,0,11,0,8
g580,0,0,0,0,0,0,0,0,0,0,0
g581,52,85,51,71,61,52,67,29,66,14,43
g582,22,25,16,22,20,10,26,4,7,0,20
g583,84,54,76,90,128,74,94,64,76,83,108
g586,0,0,2,0,0,0,2,0,0,0,0
g587,0,0,0,0,0,0,3,5,0,0,0
g585,62,76,70,64,114,85,123,96,65,85,82
g595,8,9,9,16,17,10,13,9,14,0,9
g590,149,87,112,186,303,222,332,129,170,87,167
g597,32,21,30,53,32,33,61,23,45,14,26
g596,313,521,277,298,256,361,457,169,312,196,283
g598,104,51,73,51,168,97,196,65,69,57,179
g599,32,18,7,9,31,24,48,27,10,0,35
g600,9,9,10,7,18,10,13,0,17,16,10
g601,0,7,26,10,24,6,6,0,0,15,27
g603,0,0,0,0,0,0,0,0,0,0,0
g602,8,0,0,0,0,4,7,11,5,5,0
g604,11,0,8,13,45,38,28,0,28,53,56
g605,8,0,0,0,15,0,9,0,0,7,0
g609,0,0,0,3,4,0,2,0,0,0,0
g616,13,11,14,12,12,14,17,0,14,17,17
g617,26,32,20,9,22,27,58,22,34,24,29
g620,0,0,0,11,0,0,0,0,0,0,17
g621,30,30,61,27,51,56,32,29,48,40,55
g622,0,0,0,0,0,0,0,0,0,0,0
g626,0,0,0,0,0,0,5,0,0,0,0
g623,0,0,6,11,10,16,10,10,9,9,13
g624,12,24,36,21,44,23,22,13,16,15,22
g627,24,29,41,34,29,32,51,15,19,45,46
g628,0,0,0,1,0,0,0,0,0,0,2
g632,3,5,0,0,4,8,6,0,0,0,0
g633,6,5,10,5,14,10,16,8,15,9,18
g629,5,10,5,10,9,9,5,9,11,8,13
g630,10,4,7,9,10,7,18,17,18,16,6
g618,10,17,19,12,23,10,0,7,9,19,23
g619,1600,1563,1975,1497,1799,1892,2565,1075,2045,1601,2325
g634,31,14,38,26,30,25,55,37,29,17,37
g635,3,0,0,8,4,9,7,2,0,0,5
g636,0,0,0,0,0,0,0,0,0,0,0
g638,28,30,67,15,40,53,41,24,33,46,54
g654,0,0,17,13,0,21,30,16,0,19,36
g655,0,0,0,0,0,0,0,0,0,0,0
g663,0,0,0,0,0,0,0,0,0,0,0
g664,0,0,0,0,0,0,0,0,0,0,6
g659,8,13,20,14,23,24,27,8,19,15,17
g666,9,0,18,10,14,2,9,9,7,11,10
g667,8,0,0,3,2,3,0,2,9,6,3
g670,12,15,34,15,38,13,21,9,11,36,43
g671,0,0,0,0,0,0,0,0,0,0,0
g673,0,0,0,0,0,0,0,0,0,0,0
g676,0,0,0,0,0,0,0,0,0,0,0
g668,32,30,36,43,44,42,63,28,40,43,75
g669,0,0,0,0,0,0,0,0,0,0,0
g678,3,2,0,0,3,0,3,0,0,2,2
g677,16,8,4,14,11,19,23,5,12,8,20
g683,0,0,0,0,8,0,4,0,0,0,3
g685,6,70,79,5,14,13,12,0,26,32,8
g681,31,178,31,108,84,16,48,30,23,19,21
g680,9,63,7,33,29,10,13,7,11,9,12
g688,53,19,96,15,25,40,59,41,29,34,66
g689,24,6,24,0,7,13,26,14,15,3,12
g642,0,160,124,0,0,79,154,0,88,0,0
g644,303,484,471,333,410,353,523,211,224,264,371
g645,472,674,691,467,633,491,723,273,399,440,573
g646,0,0,0,0,0,0,0,0,0,0,0
g647,892,1330,1331,969,1150,1173,1755,807,850,1012,1229
g649,0,0,23,0,0,0,0,0,0,0,0
g650,50,89,91,38,70,84,95,42,60,71,76
g651,0,0,0,0,0,0,0,0,0,0,0
g652,30,13,16,18,26,21,31,9,10,18,18
g643,133,250,197,138,182,97,193,94,85,99,137
g648,70,69,69,55,126,99,128,85,88,86,97
g653,67,26,124,124,207,158,136,150,89,110,197
g691,134,137,150,157,263,207,188,97,111,186,210
g692,5,5,15,8,16,10,16,0,5,12,0
g693,54,80,83,79,117,88,92,36,35,70,139
g697,4,0,6,0,9,0,0,0,4,0,0
g698,0,0,0,0,0,0,0,0,0,0,0
g694,11,22,9,13,24,14,13,5,5,18,20
g695,22,36,39,29,53,20,46,17,10,10,64
g704,0,0,0,0,7,0,0,0,0,0,0
g705,9,8,0,0,14,9,10,0,0,0,11
g710,0,7,29,9,12,18,8,9,17,4,0
g699,82,110,99,49,92,111,100,73,65,77,40
g711,0,0,0,0,0,0,8,0,0,0,0
g708,29,53,62,31,22,67,81,39,42,38,34
g706,42,49,55,12,20,53,58,36,31,39,17
g707,13,20,22,12,12,14,32,0,15,24,7
g712,0,7,9,0,6,5,9,0,0,5,0
g713,0,0,0,0,0,0,0,0,0,0,0
g722,0,0,0,0,0,0,0,0,0,0,0
g714,6,17,10,11,0,10,8,0,0,8,0
g723,0,0,0,0,0,0,0,0,0,0,0
g724,1,3,0,2,1,6,2,0,0,2,2
g728,0,0,0,0,0,5,0,0,0,0,10
g727,4,8,5,7,6,3,4,3,3,3,7
g731,62,63,65,27,49,62,67,29,43,44,51
g732,19,28,39,17,31,24,40,34,15,23,38
g734,0,0,0,0,0,0,0,2,0,0,0
g735,80,74,84,64,157,100,134,74,53,93,110
g733,32,52,58,39,64,52,72,32,25,36,62
g736,134,286,243,216,254,242,258,135,205,190,307
g737,41,22,19,10,52,39,31,25,6,38,37
g738,392,311,449,401,618,455,677,405,386,408,607
g739,61,42,72,67,106,76,106,69,58,51,94
g740,32,28,28,37,30,30,67,16,17,25,34
g741,99,77,95,93,133,120,142,55,115,120,140
g742,13,5,9,0,9,13,8,5,0,0,13
g744,0,0,0,0,0,0,0,0,0,0,0
g743,8,0,0,0,0,11,12,0,6,7,14
g745,22,13,8,9,17,21,34,15,0,13,14
g746,167,112,171,137,198,135,328,108,104,123,211
g747,182,136,170,119,138,163,275,129,93,153,239
g753,0,0,0,0,0,0,2,0,0,0,0
g755,0,7,5,6,0,7,8,0,0,2,0
g754,0,0,0,6,9,0,10,0,0,7,5
g749,77,24,31,33,50,64,140,21,35,40,52
g750,8,0,0,0,0,6,11,10,0,10,10
g751,48,9,13,5,28,31,44,17,7,23,25
g748,233,81,87,123,173,215,382,153,140,145,223
g756,52,49,63,57,50,73,98,38,55,44,83
g757,77,102,194,164,244,141,157,128,144,107,238
g763,7,11,5,5,7,14,12,4,0,13,13
g762,11,0,11,0,8,17,24,0,0,32,16
g759,0,12,16,8,16,12,16,14,3,15,20
g761,0,12,0,7,6,0,15,0,15,11,16
g758,26,32,18,20,42,29,33,21,20,26,32
g760,87,84,100,78,102,90,154,71,62,63,145
g771,0,0,0,0,0,0,0,0,0,0,0
g770,13,0,5,18,0,8,9,9,0,4,8
g774,76,77,66,66,88,69,100,56,41,65,101
g764,352,147,505,301,393,282,351,261,307,442,481
g765,0,0,0,0,0,0,0,0,0,0,0
g766,0,0,0,0,0,0,0,0,0,0,0
g767,0,7,37,19,0,24,17,13,24,26,34
g768,0,0,0,0,0,0,0,0,0,0,0
g769,0,10,0,0,0,0,0,0,0,7,0
g776,22,28,22,17,18,13,19,15,23,16,15
g777,374,456,445,336,433,326,447,236,305,335,376
g778,2,7,14,12,9,9,17,9,5,12,16
g784,0,0,0,4,7,7,14,0,0,5,5
g779,0,0,0,0,0,0,0,0,0,0,0
g780,71,93,69,79,86,76,86,78,60,107,98
g781,0,3,0,0,0,0,0,0,0,0,0
g782,79,117,52,62,107,105,102,69,76,71,140
g783,111,119,119,91,128,167,143,98,128,165,192
g787,0,14,24,6,20,19,18,10,10,9,19
g786,36,60,75,41,67,52,63,33,34,50,86
g785,153,180,168,128,220,156,201,99,161,115,120
g788,6,7,6,0,6,0,9,0,10,2,7
