gene_id,pd_12.14,pd_12.2,pd_12.7,pd_13.10,pd_13.13,pd_13.9,pd_14.11,pd_14.12,pd_14.8,pd_15.3,pd_15.6
SymbC1.scaffold27.2,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold27.3,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold27.1,8,0,0,0,0,0,15,0,0,0,6
SymbC1.scaffold27.8,0,0,0,0,0,4,0,0,0,0,0
SymbC1.scaffold27.6,33,0,0,0,0,0,114,0,0,16,0
SymbC1.scaffold27.5,75,0,0,26,0,34,128,34,15,28,38
SymbC1.scaffold27.9,35,8,0,4,13,17,72,35,14,8,21
SymbC1.scaffold27.13,24,0,0,0,0,18,58,41,0,0,29
SymbC1.scaffold27.17,15,0,4,5,0,0,43,22,9,0,0
SymbC1.scaffold27.14,95,15,17,23,24,43,218,105,48,40,56
SymbC1.scaffold27.16,148,19,30,42,36,68,310,172,80,77,82
SymbC1.scaffold27.18,119,7,13,33,27,55,277,115,43,68,63
SymbC1.scaffold27.20,9,0,0,0,2,7,6,2,1,0,5
SymbC1.scaffold27.19,246,19,20,66,44,83,581,191,40,79,132
SymbC1.scaffold27.22,0,0,0,0,0,3,22,4,6,0,2
SymbC1.scaffold31.3,9,0,0,0,0,0,37,6,0,0,7
SymbC1.scaffold31.2,65,0,0,18,11,13,157,43,0,13,29
SymbC1.scaffold31.4,0,0,0,0,0,0,7,0,0,0,6
SymbC1.scaffold31.5,0,0,0,0,0,0,14,0,0,0,0
SymbC1.scaffold31.7,0,0,0,0,0,0,0,0,0,3,0
SymbC1.scaffold31.8,10,0,0,0,0,0,27,0,0,0,0
SymbC1.scaffold31.6,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold31.10,95,0,0,17,0,40,306,67,14,28,58
SymbC1.scaffold31.12,59,0,3,10,4,30,150,51,3,17,29
SymbC1.scaffold31.13,48,3,3,11,0,15,109,36,9,26,23
SymbC1.scaffold31.15,0,0,0,0,0,0,0,9,0,0,0
SymbC1.scaffold31.16,0,0,0,0,0,0,50,13,0,6,0
SymbC1.scaffold31.14,0,0,0,0,0,0,12,0,0,0,0
SymbC1.scaffold33.3,16,0,0,3,3,15,39,10,0,14,9
SymbC1.scaffold33.2,31,0,0,0,0,0,51,0,0,0,0
SymbC1.scaffold33.5,2,0,3,0,0,0,0,2,2,0,2
SymbC1.scaffold33.4,78,11,18,16,22,39,152,78,32,38,42
SymbC1.scaffold33.6,0,0,0,0,11,0,74,0,0,0,0
SymbC1.scaffold33.10,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold33.9,58,0,0,14,13,25,124,22,0,10,25
SymbC1.scaffold33.12,2,0,0,0,1,0,4,0,0,0,0
SymbC1.scaffold33.11,13,0,0,0,0,13,68,16,0,9,0
SymbC1.scaffold33.14,36,0,0,0,0,14,153,28,10,30,30
SymbC1.scaffold33.15,0,0,0,0,0,0,18,0,0,0,0
SymbC1.scaffold33.16,13,2,0,4,2,4,25,10,7,2,9
SymbC1.scaffold33.20,0,0,0,0,0,0,39,0,0,0,0
SymbC1.scaffold33.22,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold33.24,0,0,0,0,0,0,50,15,0,6,0
SymbC1.scaffold35.1,0,0,0,0,0,0,36,6,0,0,0
SymbC1.scaffold35.3,43,0,0,14,9,31,98,30,4,12,19
SymbC1.scaffold35.2,29,0,0,0,0,23,99,39,4,19,0
SymbC1.scaffold37.4,2,0,0,4,0,2,23,6,0,1,4
SymbC1.scaffold37.1,0,0,0,0,0,0,35,0,0,0,0
SymbC1.scaffold37.3,0,0,0,0,0,0,0,0,0,5,0
SymbC1.scaffold37.5,23,0,0,0,0,0,32,0,0,0,0
SymbC1.scaffold37.7,29,0,0,0,0,0,63,18,0,0,14
SymbC1.scaffold37.8,17,0,0,0,0,0,44,19,0,0,18
SymbC1.scaffold37.10,0,0,0,0,0,0,0,5,0,0,0
SymbC1.scaffold37.11,0,0,0,0,0,0,11,0,0,0,0
SymbC1.scaffold37.12,52,5,0,11,14,16,186,58,14,15,21
SymbC1.scaffold37.15,102,0,5,23,12,48,267,74,14,26,70
SymbC1.scaffold37.19,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold37.16,51,0,0,0,0,0,202,62,15,0,29
SymbC1.scaffold37.17,65,0,0,25,0,25,206,56,7,0,37
SymbC1.scaffold38.8,0,0,0,0,0,0,0,6,0,0,0
SymbC1.scaffold38.9,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold38.5,20,0,0,0,5,0,53,0,4,8,0
SymbC1.scaffold40.1,31,3,0,0,0,10,43,18,6,13,16
SymbC1.scaffold38.1,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold40.2,15,0,3,7,8,0,30,15,7,9,7
SymbC1.scaffold40.6,0,0,0,0,0,0,8,0,0,0,0
SymbC1.scaffold40.5,25,0,0,0,0,0,33,0,0,0,0
SymbC1.scaffold40.12,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold40.9,47,0,0,13,8,0,65,22,4,9,15
SymbC1.scaffold41.2,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold41.4,13,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold40.13,0,0,0,0,0,0,19,0,0,0,0
SymbC1.scaffold41.5,15,0,0,10,0,5,37,9,10,0,0
SymbC1.scaffold41.7,3,0,0,0,0,0,11,0,0,0,0
SymbC1.scaffold41.9,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold41.8,24,0,0,10,12,21,71,21,0,12,16
SymbC1.scaffold41.6,40,0,0,24,0,0,167,41,0,18,30
SymbC1.scaffold41.10,13,0,0,0,0,0,22,0,0,0,0
SymbC1.scaffold41.12,13,2,3,3,5,2,39,8,5,14,0
SymbC1.scaffold41.11,0,0,0,0,0,0,27,13,0,0,0
