gene_id,pd_12.14,pd_12.2,pd_12.7,pd_13.10,pd_13.13,pd_13.9,pd_14.11,pd_14.12,pd_14.8,pd_15.3,pd_15.6
SymbC1.scaffold42.3,11,1,0,4,0,8,20,7,3,2,2
SymbC1.scaffold41.13,18,7,0,2,4,7,33,12,5,10,12
SymbC1.scaffold41.14,11,2,7,0,0,6,18,0,0,4,7
SymbC1.scaffold42.1,5,0,0,0,0,0,13,0,0,0,2
SymbC1.scaffold42.5,18,0,0,0,0,16,43,0,8,12,0
SymbC1.scaffold42.6,0,0,0,0,0,0,5,0,0,0,0
SymbC1.scaffold42.4,24,0,0,7,0,10,78,16,0,10,10
SymbC1.scaffold42.9,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold43.7,0,0,0,0,0,0,21,0,0,0,0
SymbC1.scaffold43.11,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold43.10,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold44.1,52,5,0,18,0,20,113,30,0,14,39
SymbC1.scaffold44.2,22,0,0,0,0,0,25,0,0,0,0
SymbC1.scaffold44.3,0,0,0,0,0,0,48,0,0,0,0
SymbC1.scaffold44.4,7,0,0,0,0,0,19,5,6,4,11
SymbC1.scaffold44.5,173,6,9,48,23,95,400,132,34,66,120
SymbC1.scaffold44.8,102,10,12,38,23,29,223,83,34,13,49
SymbC1.scaffold44.9,108,0,7,17,19,28,130,66,31,49,37
SymbC1.scaffold44.10,30,2,2,9,5,7,46,16,11,6,11
SymbC1.scaffold44.11,17,0,0,0,0,0,83,16,0,0,14
SymbC1.scaffold43.3,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold43.4,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold43.1,15,0,0,0,0,0,16,0,0,0,0
SymbC1.scaffold43.2,35,0,0,0,0,14,78,42,7,16,0
SymbC1.scaffold43.5,19,0,0,0,0,0,50,0,0,5,0
SymbC1.scaffold43.6,42,0,0,0,0,0,82,27,0,0,20
SymbC1.scaffold44.13,0,0,0,0,0,6,75,18,0,9,14
SymbC1.scaffold44.14,0,0,0,0,0,12,31,13,0,0,5
SymbC1.scaffold44.12,96,0,0,19,13,37,217,83,18,17,37
SymbC1.scaffold44.15,68,0,0,14,0,29,117,47,12,21,22
SymbC1.scaffold44.18,26,6,3,2,8,8,36,28,6,14,12
SymbC1.scaffold44.16,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold44.17,14,0,0,0,0,0,21,0,0,0,11
SymbC1.scaffold44.21,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold45.1,22,0,0,0,0,0,46,10,0,0,15
SymbC1.scaffold44.19,52,0,0,15,11,24,131,47,0,28,31
SymbC1.scaffold45.3,10,0,0,0,0,0,15,0,0,0,0
SymbC1.scaffold45.2,48,0,7,17,11,0,167,60,6,21,24
SymbC1.scaffold45.5,0,0,0,6,0,0,35,0,0,0,0
SymbC1.scaffold45.4,115,0,0,42,0,39,215,50,20,0,0
SymbC1.scaffold45.11,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold45.7,92,0,0,23,0,25,360,82,0,22,49
SymbC1.scaffold45.13,59,6,0,21,11,44,132,44,0,0,39
SymbC1.scaffold46.1,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold46.4,15,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold46.3,19,0,0,0,0,0,46,0,0,0,0
SymbC1.scaffold48.1,44,0,0,12,0,13,98,0,0,12,0
SymbC1.scaffold48.3,22,0,0,0,0,0,47,0,0,8,11
SymbC1.scaffold48.5,0,0,0,0,0,0,70,0,0,0,19
SymbC1.scaffold48.8,0,0,0,0,0,0,34,11,0,0,4
SymbC1.scaffold49.1,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold49.3,4,0,0,2,0,0,5,5,0,2,0
SymbC1.scaffold49.2,0,0,0,0,0,0,40,21,0,0,0
SymbC1.scaffold49.4,0,0,0,0,0,6,14,6,0,0,0
SymbC1.scaffold49.5,0,0,0,0,0,0,9,3,0,0,0
SymbC1.scaffold48.6,68,0,0,13,0,0,152,54,0,0,34
SymbC1.scaffold49.6,44,0,0,0,0,0,76,22,0,0,12
SymbC1.scaffold50.1,19,0,0,0,0,0,47,0,0,0,18
SymbC1.scaffold50.2,46,0,0,0,3,13,93,30,14,10,17
SymbC1.scaffold50.6,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold50.4,55,0,0,17,8,24,145,36,0,0,0
SymbC1.scaffold51.4,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold51.1,21,0,0,0,0,12,63,11,4,0,0
SymbC1.scaffold52.1,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold51.2,32,0,0,12,0,0,128,31,0,26,20
SymbC1.scaffold51.3,18,0,0,0,0,0,34,0,0,0,0
SymbC1.scaffold51.6,49,0,6,19,0,11,112,19,0,0,27
SymbC1.scaffold52.5,46,0,0,22,12,25,160,39,25,20,36
SymbC1.scaffold52.6,20,0,0,0,0,4,30,11,0,0,0
SymbC1.scaffold52.12,18,0,0,0,0,18,73,38,6,5,24
SymbC1.scaffold52.11,0,0,0,0,0,22,130,0,0,0,0
SymbC1.scaffold52.13,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold52.7,20,0,0,12,0,12,118,0,0,0,24
SymbC1.scaffold52.14,15,0,0,14,6,0,124,29,0,0,20
SymbC1.scaffold52.15,63,8,0,21,14,39,96,63,25,17,23
SymbC1.scaffold52.16,101,12,12,19,25,30,180,100,45,51,44
SymbC1.scaffold54.1,3,0,0,0,0,0,11,5,0,0,0
SymbC1.scaffold54.6,0,0,0,0,0,0,23,0,0,0,0
SymbC1.scaffold54.7,20,0,0,10,0,0,79,31,0,18,9
SymbC1.scaffold54.5,44,0,0,0,0,0,131,0,0,12,24
SymbC1.scaffold54.8,10,0,2,0,0,12,26,7,0,0,4
SymbC1.scaffold55.2,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold55.4,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold55.3,0,0,0,0,0,0,26,9,0,0,0
SymbC1.scaffold55.7,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold55.1,33,0,0,0,4,11,39,13,0,0,0
SymbC1.scaffold55.9,15,0,0,5,0,0,0,19,12,0,0
SymbC1.scaffold55.10,0,0,0,0,0,5,17,0,0,0,0
SymbC1.scaffold56.8,79,11,0,22,0,45,240,48,0,14,51
SymbC1.scaffold56.11,10,3,0,0,0,5,31,0,7,3,0
SymbC1.scaffold56.10,29,0,0,0,0,11,155,35,0,0,29
SymbC1.scaffold56.12,40,0,0,0,0,17,109,18,0,0,25
SymbC1.scaffold56.9,79,0,17,28,0,0,234,0,25,33,36
SymbC1.scaffold56.14,18,2,0,0,6,8,27,3,2,4,9
SymbC1.scaffold56.15,3,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold56.13,68,0,0,16,0,34,122,39,6,0,29
SymbC1.scaffold58.1,0,0,0,0,0,0,28,0,0,0,0
SymbC1.scaffold58.5,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold58.4,21,0,0,5,9,18,62,38,0,18,15
SymbC1.scaffold58.7,37,0,0,0,0,10,58,0,11,0,0
SymbC1.scaffold58.8,12,0,0,0,7,0,20,7,0,0,10
SymbC1.scaffold59.3,9,0,0,8,6,11,32,15,7,4,6
SymbC1.scaffold58.11,30,0,0,0,0,11,65,29,0,21,0
SymbC1.scaffold59.4,47,0,0,0,0,28,126,46,14,15,24
SymbC1.scaffold59.6,0,0,0,0,0,0,27,8,2,0,7
SymbC1.scaffold59.5,37,0,0,0,0,9,105,0,0,16,26
SymbC1.scaffold60.1,22,3,0,0,0,8,28,0,0,0,10
SymbC1.scaffold60.2,0,0,0,0,0,0,42,13,0,0,0
SymbC1.scaffold59.8,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold59.7,52,0,0,24,0,20,159,39,0,0,30
SymbC1.scaffold60.4,19,0,0,0,7,8,28,0,0,0,0
SymbC1.scaffold60.3,47,0,7,17,6,24,147,48,0,0,36
SymbC1.scaffold60.11,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold60.5,146,15,0,39,23,44,341,142,46,55,59
SymbC1.scaffold60.14,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold60.7,29,0,0,9,0,0,66,29,0,13,0
SymbC1.scaffold60.16,6,0,0,0,0,0,35,27,0,7,7
SymbC1.scaffold60.15,17,0,0,0,0,0,67,0,0,7,12
SymbC1.scaffold60.17,188,21,27,63,48,105,369,143,54,71,116
SymbC1.scaffold61.3,35,0,0,7,0,0,89,0,0,0,19
SymbC1.scaffold62.4,10,0,0,4,0,0,23,5,0,0,0
SymbC1.scaffold61.8,80,0,7,20,0,24,187,47,6,8,41
SymbC1.scaffold63.2,13,0,0,0,0,0,47,0,0,0,0
SymbC1.scaffold63.1,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold63.9,16,5,0,0,0,7,35,16,0,0,10
SymbC1.scaffold64.2,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold64.1,43,0,6,14,6,20,112,27,9,16,23
SymbC1.scaffold63.4,32,0,0,0,0,11,85,12,0,0,0
SymbC1.scaffold64.4,0,0,0,4,0,0,15,0,0,7,0
SymbC1.scaffold64.3,47,0,0,9,0,21,127,39,0,12,26
SymbC1.scaffold64.5,66,0,4,15,0,0,177,38,0,19,31
SymbC1.scaffold64.6,30,0,6,0,13,0,70,26,0,17,0
SymbC1.scaffold64.9,4,0,0,0,0,2,5,2,2,0,3
SymbC1.scaffold64.7,56,0,0,0,0,26,132,40,21,33,25
SymbC1.scaffold64.8,5,0,0,2,0,4,12,4,0,4,3
SymbC1.scaffold64.10,58,0,0,27,0,23,142,82,35,38,0
SymbC1.scaffold64.12,115,7,4,25,8,30,227,67,22,34,44
SymbC1.scaffold64.13,62,0,0,0,0,0,144,50,0,14,56
SymbC1.scaffold64.15,18,0,0,0,0,0,22,0,0,0,0
SymbC1.scaffold64.16,26,0,0,0,0,0,18,0,0,0,0
SymbC1.scaffold64.14,72,0,0,0,0,0,201,69,0,28,29
SymbC1.scaffold64.17,6,0,0,0,0,0,12,7,0,0,0
SymbC1.scaffold64.18,58,0,0,15,5,27,135,42,11,18,25
SymbC1.scaffold64.19,7,0,0,0,5,8,34,16,0,0,11
SymbC1.scaffold65.1,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold64.20,28,0,6,15,0,10,100,20,0,0,12
SymbC1.scaffold65.2,17,0,0,0,0,4,102,0,0,0,0
SymbC1.scaffold65.4,0,0,0,0,0,0,36,19,0,0,7
SymbC1.scaffold65.3,16,0,0,0,0,11,57,20,0,0,14
SymbC1.scaffold65.7,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold65.9,10,0,0,0,0,0,17,0,0,0,0
SymbC1.scaffold65.5,17,0,0,0,0,0,44,0,0,0,9
SymbC1.scaffold65.10,0,0,0,0,0,0,0,0,0,0,3
SymbC1.scaffold65.13,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold66.4,174,0,14,35,17,82,423,100,16,61,97
SymbC1.scaffold66.5,0,0,0,0,0,0,0,7,0,0,0
SymbC1.scaffold66.6,0,0,0,5,0,0,35,5,0,0,0
SymbC1.scaffold66.10,19,0,3,0,4,0,59,14,7,0,0
SymbC1.scaffold66.8,102,8,7,28,9,34,164,54,20,28,35
SymbC1.scaffold66.12,6,0,0,0,0,0,18,0,0,0,0
SymbC1.scaffold66.11,152,0,10,37,12,30,292,91,25,28,42
SymbC1.scaffold66.14,25,0,6,3,6,10,34,20,5,5,6
SymbC1.scaffold66.13,143,14,15,29,15,57,243,80,14,41,35
SymbC1.scaffold66.16,28,0,4,0,0,14,103,29,9,11,22
SymbC1.scaffold66.19,0,0,0,0,0,0,0,0,0,0,6
SymbC1.scaffold66.20,68,0,0,25,7,26,146,57,26,23,29
SymbC1.scaffold66.21,56,7,0,19,29,34,125,101,17,53,32
SymbC1.scaffold66.22,45,0,0,0,0,0,86,30,0,0,0
SymbC1.scaffold66.23,31,0,0,0,0,21,67,22,0,6,20
SymbC1.scaffold66.26,0,0,0,0,0,0,26,8,0,0,0
SymbC1.scaffold66.25,76,0,0,22,10,30,162,66,20,9,34
SymbC1.scaffold67.1,0,0,0,0,0,0,22,0,0,0,0
SymbC1.scaffold67.4,21,0,0,9,0,0,80,24,10,11,8
SymbC1.scaffold67.6,28,0,0,0,0,0,122,30,0,0,0
SymbC1.scaffold68.1,9,0,0,0,0,0,32,9,0,0,9
SymbC1.scaffold68.3,0,0,0,0,0,0,38,9,0,0,0
SymbC1.scaffold68.4,0,0,0,0,0,0,0,0,0,6,0
SymbC1.scaffold67.7,0,0,0,0,0,0,39,0,0,0,0
SymbC1.scaffold74.5,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold68.6,45,0,0,18,0,0,125,40,0,0,0
SymbC1.scaffold74.7,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold74.10,31,0,7,8,20,19,83,45,18,16,21
SymbC1.scaffold74.12,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold74.13,0,0,0,0,0,0,6,0,0,0,0
SymbC1.scaffold74.11,45,0,0,0,0,0,66,29,0,0,9
SymbC1.scaffold75.3,15,0,0,0,0,0,45,0,0,6,0
SymbC1.scaffold75.6,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold75.7,34,0,0,0,0,0,72,17,0,0,19
SymbC1.scaffold75.5,51,0,0,15,18,26,155,48,0,21,70
SymbC1.scaffold75.9,46,0,0,13,0,20,100,33,0,18,19
SymbC1.scaffold75.11,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold75.10,0,0,0,0,0,0,36,0,0,0,0
SymbC1.scaffold75.13,239,15,24,48,31,47,425,118,40,54,68
SymbC1.scaffold75.14,128,10,11,49,24,38,274,70,40,43,47
SymbC1.scaffold75.16,0,0,0,0,0,0,28,0,0,0,0
SymbC1.scaffold76.9,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold77.1,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold77.2,30,0,3,4,6,7,43,19,0,0,16
SymbC1.scaffold77.4,0,0,0,0,0,0,47,0,10,0,0
SymbC1.scaffold77.5,71,5,0,0,0,23,148,63,9,14,32
SymbC1.scaffold77.6,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold78.2,23,0,0,0,10,0,54,18,5,6,0
SymbC1.scaffold78.4,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold79.2,21,0,0,10,5,0,67,25,0,0,11
SymbC1.scaffold78.1,19,0,0,7,0,15,80,28,0,0,0
SymbC1.scaffold79.4,19,6,0,8,0,7,42,16,0,0,0
SymbC1.scaffold79.5,36,0,0,14,0,21,140,34,15,0,32
SymbC1.scaffold79.6,0,0,0,0,0,9,16,0,0,0,0
SymbC1.scaffold79.3,94,14,12,39,19,49,359,77,0,27,62
SymbC1.scaffold79.10,76,7,15,28,0,25,144,55,23,25,28
SymbC1.scaffold79.7,71,0,0,0,0,34,246,50,0,22,47
SymbC1.scaffold79.11,113,0,0,36,24,48,354,74,16,29,108
SymbC1.scaffold81.1,36,0,0,0,0,0,79,28,11,10,33
SymbC1.scaffold81.2,15,0,0,7,0,0,51,12,0,0,10
SymbC1.scaffold81.3,37,0,0,0,0,0,111,26,8,0,0
SymbC1.scaffold82.1,24,0,0,0,0,9,79,20,0,13,0
SymbC1.scaffold82.2,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold82.6,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold83.21,11,0,0,0,3,0,33,9,6,0,0
SymbC1.scaffold83.4,0,0,0,0,0,0,23,10,0,0,0
SymbC1.scaffold83.8,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold81.8,61,0,0,0,0,0,227,64,0,0,33
SymbC1.scaffold83.9,7,0,0,0,0,0,42,19,0,0,0
SymbC1.scaffold83.15,0,0,0,0,0,2,16,0,0,3,2
SymbC1.scaffold83.11,0,0,0,0,0,0,55,0,0,0,0
SymbC1.scaffold83.10,0,0,0,0,0,0,48,0,0,0,0
SymbC1.scaffold83.13,14,0,0,0,0,0,45,0,0,0,9
SymbC1.scaffold83.6,15,0,0,8,0,13,61,26,0,0,19
SymbC1.scaffold83.16,25,0,0,8,0,12,77,23,0,0,24
SymbC1.scaffold83.17,0,0,0,4,0,3,0,0,0,5,3
SymbC1.scaffold83.19,6,0,0,0,0,8,0,0,0,0,0
SymbC1.scaffold83.18,19,0,0,0,0,9,42,11,0,0,11
SymbC1.scaffold84.1,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold84.2,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold84.4,19,0,0,0,0,0,33,0,0,0,16
SymbC1.scaffold84.5,6,0,0,0,0,0,13,0,0,0,0
SymbC1.scaffold84.3,65,0,0,0,20,33,131,42,0,27,20
SymbC1.scaffold84.7,64,0,0,23,0,0,215,38,0,18,0
SymbC1.scaffold84.8,102,11,14,25,12,29,193,109,35,41,40
SymbC1.scaffold84.9,21,0,0,0,7,14,61,46,0,0,30
SymbC1.scaffold84.10,19,0,0,0,0,0,54,0,0,0,0
SymbC1.scaffold84.11,31,0,0,0,0,0,112,0,0,0,0
SymbC1.scaffold84.16,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold84.12,22,0,0,0,0,17,70,23,0,0,0
SymbC1.scaffold85.4,10,0,0,0,0,0,18,0,6,7,7
SymbC1.scaffold86.1,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold86.4,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold86.6,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold88.2,2,0,0,0,2,4,6,4,0,5,0
SymbC1.scaffold89.1,0,0,0,0,0,0,18,0,0,0,0
SymbC1.scaffold88.1,52,0,0,0,16,0,153,53,0,0,29
SymbC1.scaffold89.2,80,0,0,17,0,30,246,67,11,30,40
SymbC1.scaffold89.4,0,0,0,0,0,0,19,7,0,8,8
SymbC1.scaffold90.4,2,0,0,0,0,3,0,0,0,0,0
SymbC1.scaffold90.6,0,0,0,0,0,0,2,0,0,0,0
SymbC1.scaffold89.3,0,0,0,0,0,0,47,21,0,0,0
SymbC1.scaffold90.5,13,0,0,0,0,0,21,0,0,0,0
SymbC1.scaffold90.2,28,0,0,0,0,0,47,20,0,0,0
SymbC1.scaffold90.10,0,0,3,8,0,0,77,0,0,0,0
SymbC1.scaffold90.7,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold90.8,9,0,0,0,0,0,19,7,0,0,0
SymbC1.scaffold90.9,27,0,0,0,0,16,83,21,0,15,21
SymbC1.scaffold90.11,56,0,16,16,9,28,85,33,25,14,21
SymbC1.scaffold91.4,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold91.3,26,0,0,11,0,0,40,21,10,0,9
SymbC1.scaffold90.12,109,0,0,22,0,24,239,66,0,22,27
SymbC1.scaffold91.7,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold91.5,20,0,0,0,0,0,33,11,0,0,0
SymbC1.scaffold91.6,120,0,0,22,12,24,277,66,11,26,59
SymbC1.scaffold91.9,44,0,0,10,0,30,134,33,8,10,14
SymbC1.scaffold91.12,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold91.13,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold91.14,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold91.16,166,10,0,43,36,79,371,141,34,45,65
SymbC1.scaffold91.17,158,25,29,57,34,75,399,105,61,60,77
SymbC1.scaffold91.18,174,16,17,39,32,109,459,184,26,59,107
SymbC1.scaffold91.19,70,0,8,11,10,33,94,42,17,19,35
SymbC1.scaffold91.23,30,0,0,0,0,0,31,20,0,0,8
SymbC1.scaffold92.2,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold91.20,24,0,0,0,0,5,42,10,5,8,12
SymbC1.scaffold91.21,105,18,0,30,33,54,252,80,41,56,49
SymbC1.scaffold91.22,148,24,18,42,20,58,308,116,48,44,68
SymbC1.scaffold92.3,58,0,0,0,10,36,260,64,0,16,59
SymbC1.scaffold92.1,0,0,0,0,0,0,118,0,0,0,0
SymbC1.scaffold92.4,93,0,7,29,12,24,207,46,19,17,44
SymbC1.scaffold92.5,9,0,0,0,0,0,17,3,0,0,0
SymbC1.scaffold92.7,62,0,0,0,0,27,150,32,10,12,32
SymbC1.scaffold92.9,0,0,0,4,0,0,14,0,3,0,0
SymbC1.scaffold92.10,0,0,0,0,0,23,60,14,0,0,0
SymbC1.scaffold92.11,46,0,0,17,8,34,207,62,16,12,57
SymbC1.scaffold92.12,47,7,0,12,6,14,57,25,3,13,14
SymbC1.scaffold92.13,26,0,0,4,5,6,41,9,7,7,6
SymbC1.scaffold92.15,0,0,0,0,0,0,63,21,0,21,0
SymbC1.scaffold92.16,8,0,0,0,0,0,17,8,0,0,0
SymbC1.scaffold92.17,5,0,0,0,0,0,14,11,0,0,0
SymbC1.scaffold92.14,70,0,0,0,0,0,148,52,0,27,25
SymbC1.scaffold92.19,0,0,0,0,0,5,32,17,0,0,0
SymbC1.scaffold92.18,9,0,0,0,0,0,19,0,0,0,0
SymbC1.scaffold93.6,0,0,0,0,0,0,13,0,0,0,0
SymbC1.scaffold93.4,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold93.5,0,0,0,0,0,0,5,0,0,0,4
SymbC1.scaffold95.1,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold95.2,28,0,0,20,0,0,95,19,4,0,0
SymbC1.scaffold95.4,0,0,0,0,0,0,19,8,0,0,13
